id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,0.536308,7.702165,7.165857,NaN,True,2.0,0
1,1.259604,7.893532,6.633928,NaN,True,2.0,0
7,6.923734,12.779303,5.855569,NaN,True,2.0,0
3,3.512417,12.80147,9.289053,NaN,True,2.0,0
5,5.748634,12.97168,7.223046,NaN,True,2.0,0
8,7.203559,12.967973,5.764414,NaN,True,2.0,0
9,7.463893,12.981309,5.517416,NaN,True,2.0,0
2,3.403198,12.994809,9.591611,NaN,True,2.0,0
4,4.344368,12.976559,8.632191,NaN,True,2.0,0
6,6.297556,13.017232,6.719676,NaN,True,2.0,0
12,10.368918,17.782248,7.41333,NaN,True,2.0,0
14,11.268161,17.797683,6.529522,NaN,True,2.0,0
18,12.451581,17.79059,5.339009,NaN,True,2.0,0
10,7.787429,17.798761,10.011332,NaN,True,2.0,0
17,12.271931,17.907,5.635069,NaN,True,2.0,0
11,9.993473,17.895902,7.902429,NaN,True,2.0,0
13,11.120306,17.913903,6.793597,NaN,True,2.0,0
15,11.425734,17.939589,6.513855,NaN,True,2.0,0
16,11.664575,17.953922,6.289347,NaN,True,2.0,0
21,13.783882,22.741691,8.957809,NaN,True,2.0,0
32,16.950752,22.742754,5.792002,NaN,True,2.0,0
31,16.710336,22.762922,6.052586,NaN,True,2.0,0
19,13.07869,22.768899,9.690209,NaN,True,2.0,0
28,15.379706,22.77596,7.396254,NaN,True,2.0,0
25,14.95216,22.771569,7.819409,NaN,True,2.0,0
27,15.193629,22.935632,7.742003,NaN,True,2.0,0
30,16.356689,22.955992,6.599303,NaN,True,2.0,0
23,14.574093,22.948966,8.374873,NaN,True,2.0,0
29,16.131105,22.962007,6.830902,NaN,True,2.0,0
22,13.967699,22.965765,8.998066,NaN,True,2.0,0
36,20.979101,27.978948,6.999847,NaN,True,2.0,0
38,21.556714,28.014365,6.457651,NaN,True,2.0,0
39,22.275073,28.01815,5.743077,NaN,True,2.0,0
34,19.916776,28.002543,8.085767,NaN,True,2.0,0
37,21.336454,27.995496,6.659042,NaN,True,2.0,0
33,19.784475,27.996615,8.21214,NaN,True,2.0,0
40,22.444361,28.045241,5.60088,NaN,True,2.0,0
35,20.92029,28.0405,7.12021,NaN,True,2.0,0
42,23.234593,32.99725,9.762657,NaN,True,2.0,0
47,24.994241,32.999877,8.005636,NaN,True,2.0,0
43,23.475741,33.01213,9.536389,NaN,True,2.0,0
45,23.931767,33.008423,9.076656,NaN,True,2.0,0
50,27.504897,33.013717,5.50882,NaN,True,2.0,0
46,24.655142,33.017395,8.362253,NaN,True,2.0,0
49,27.233014,33.006801,5.773787,NaN,True,2.0,0
41,23.116706,33.023254,9.906548,NaN,True,2.0,0
44,23.675205,33.022638,9.347433,NaN,True,2.0,0
48,27.049243,33.034034,5.984791,NaN,True,2.0,0
56,31.440584,37.979398,6.538814,NaN,True,2.0,0
52,29.482486,37.990061,8.507575,NaN,True,2.0,0
57,31.689178,37.986825,6.297647,NaN,True,2.0,0
51,29.23968,38.003425,8.763745,NaN,True,2.0,0
54,29.97898,38.000081,8.021101,NaN,True,2.0,0
55,30.964363,38.025627,7.061264,NaN,True,2.0,0
53,29.76902,38.020714,8.251694,NaN,True,2.0,0
58,32.324079,38.031528,5.707449,NaN,True,2.0,0
62,34.340071,42.680706,8.340635,NaN,True,2.0,0
66,37.443331,42.722643,5.279312,NaN,True,2.0,0
59,33.000408,42.736209,9.735801,NaN,True,2.0,0
65,35.945131,42.73779,6.792659,NaN,True,2.0,0
61,33.133029,42.743199,9.61017,NaN,True,2.0,0
60,33.050089,42.763226,9.713137,NaN,True,2.0,0
63,34.620599,42.765969,8.14537,NaN,True,2.0,0
72,41.777269,47.710706,5.933437,NaN,True,2.0,0
68,38.752178,47.720403,8.968225,NaN,True,2.0,0
69,39.330987,47.724192,8.393205,NaN,True,2.0,0
71,39.594418,47.734397,8.139979,NaN,True,2.0,0
67,38.092752,47.798847,9.706095,NaN,True,2.0,0
80,46.638325,52.727303,6.088978,NaN,True,2.0,0
76,44.252161,52.935702,8.683541,NaN,True,2.0,0
81,47.072847,52.937301,5.864454,NaN,True,2.0,0
78,44.733639,52.94956,8.215921,NaN,True,2.0,0
75,43.629853,52.95647,9.326617,NaN,True,2.0,0
79,46.590202,52.958094,6.367892,NaN,True,2.0,0
74,43.148353,52.965174,9.816821,NaN,True,2.0,0
73,42.964457,52.966742,10.002285,NaN,True,2.0,0
77,44.501832,52.968842,8.46701,NaN,True,2.0,0
84,48.930102,57.769203,8.839101,NaN,True,2.0,0
87,49.62441,57.783658,8.159248,NaN,True,2.0,0
82,47.568972,57.806351,10.237379,NaN,True,2.0,0
90,51.25794,57.791904,6.533964,NaN,True,2.0,0
83,48.08395,57.79475,9.7108,NaN,True,2.0,0
86,49.477109,57.919507,8.442398,NaN,True,2.0,0
91,51.420786,57.940401,6.519615,NaN,True,2.0,0
96,53.547219,62.729163,9.181944,NaN,True,2.0,0
97,53.933538,62.826894,8.893356,NaN,True,2.0,0
101,57.141774,62.931865,5.790091,NaN,True,2.0,0
98,54.765922,62.939855,8.173933,NaN,True,2.0,0
94,53.241981,62.95307,9.711089,NaN,True,2.0,0
99,55.553345,62.95143,7.398085,NaN,True,2.0,0
92,52.917701,62.989476,10.071775,NaN,True,2.0,0
100,56.63024,63.000216,6.369976,NaN,True,2.0,0
104,58.944383,67.75175,8.807367,NaN,True,2.0,0
108,60.360183,67.753385,7.393202,NaN,True,2.0,0
109,61.478052,67.763685,6.285633,NaN,True,2.0,0
111,61.63379,67.771722,6.137932,NaN,True,2.0,0
105,59.255019,67.776534,8.521515,NaN,True,2.0,0
103,58.747254,67.778169,9.030915,NaN,True,2.0,0
106,60.022744,67.783759,7.761015,NaN,True,2.0,0
107,60.345587,67.784881,7.439294,NaN,True,2.0,0
110,61.528129,67.784881,6.256752,NaN,True,2.0,0
112,62.920631,72.807124,9.886493,NaN,True,2.0,0
113,63.302361,72.806077,9.503716,NaN,True,2.0,0
115,65.040856,72.80818,7.767324,NaN,True,2.0,0
118,67.208115,72.934658,5.726543,NaN,True,2.0,0
117,66.382829,72.933023,6.550194,NaN,True,2.0,0
114,64.440535,72.938553,8.498018,NaN,True,2.0,0
116,65.608109,72.955781,7.347672,NaN,True,2.0,0
130,71.956422,77.976785,6.020363,NaN,True,2.0,0
127,70.565661,77.975741,7.41008,NaN,True,2.0,0
129,71.77579,77.994344,6.218554,NaN,True,2.0,0
120,68.192896,77.99644,9.803544,NaN,True,2.0,0
123,69.435733,78.012851,8.577118,NaN,True,2.0,0
125,70.062476,78.014968,7.952492,NaN,True,2.0,0
122,68.608345,78.034183,9.425838,NaN,True,2.0,0
119,67.678613,78.037978,10.359365,NaN,True,2.0,0
131,72.038886,78.04014,6.001254,NaN,True,2.0,0
128,71.532181,78.05975,6.527569,NaN,True,2.0,0
132,72.936385,82.733242,9.796857,NaN,True,2.0,0
141,77.438682,82.750527,5.311845,NaN,True,2.0,0
136,73.983724,82.759225,8.775501,NaN,True,2.0,0
139,76.617396,82.743299,6.125903,NaN,True,2.0,0
137,75.231149,82.761896,7.530747,NaN,True,2.0,0
134,73.413341,82.793736,9.380395,NaN,True,2.0,0
135,73.93546,82.788357,8.852897,NaN,True,2.0,0
140,76.63694,82.943174,6.306234,NaN,True,2.0,0
133,73.098474,82.952734,9.85426,NaN,True,2.0,0
149,81.161524,87.705634,6.54411,NaN,True,2.0,0
142,77.73069,87.719844,9.989154,NaN,True,2.0,0
145,78.904011,87.721397,8.817386,NaN,True,2.0,0
150,81.278619,87.735258,6.456639,NaN,True,2.0,0
151,81.408189,87.914943,6.506754,NaN,True,2.0,0
147,80.638409,87.94124,7.302831,NaN,True,2.0,0
148,81.111464,87.951652,6.840188,NaN,True,2.0,0
144,78.18611,87.975988,9.789878,NaN,True,2.0,0
143,77.763778,87.974367,10.210589,NaN,True,2.0,0
146,80.366706,87.995896,7.62919,NaN,True,2.0,0
155,85.218135,92.796,7.577865,NaN,True,2.0,0
156,85.374473,92.934597,7.560124,NaN,True,2.0,0
157,85.711776,92.925932,7.214156,NaN,True,2.0,0
153,85.100225,92.941058,7.840833,NaN,True,2.0,0
158,85.7785,92.949316,7.170816,NaN,True,2.0,0
160,86.364367,92.956112,6.591745,NaN,True,2.0,0
159,85.99683,92.952057,6.955227,NaN,True,2.0,0
154,85.118903,92.9593,7.840397,NaN,True,2.0,0
161,87.20368,92.960885,5.757205,NaN,True,2.0,0
152,84.592167,92.962993,8.370826,NaN,True,2.0,0
163,89.940803,97.652439,7.711636,NaN,True,2.0,0
164,90.686281,97.738497,7.052216,NaN,True,2.0,0
