id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,0.549201,7.73116,7.181959,NaN,True,1.0,0
1,5.358054,12.793178,7.435124,NaN,True,1.0,0
3,6.088915,12.798754,6.709839,NaN,True,1.0,0
2,5.959892,12.825123,6.865231,NaN,True,1.0,0
6,11.282788,17.79144,6.508652,NaN,True,1.0,0
4,8.982326,17.794137,8.811811,NaN,True,1.0,0
8,11.96991,17.829006,5.859096,NaN,True,1.0,0
5,10.431414,17.853997,7.422583,NaN,True,1.0,0
11,14.762019,22.856215,8.094196,NaN,True,1.0,0
9,13.364997,22.941553,9.576556,NaN,True,1.0,0
14,17.316005,22.949712,5.633707,NaN,True,1.0,0
15,17.34134,22.944272,5.602932,NaN,True,1.0,0
13,16.601086,22.951359,6.350273,NaN,True,1.0,0
10,13.440591,22.945346,9.504755,NaN,True,1.0,0
12,15.724594,22.958905,7.234311,NaN,True,1.0,0
18,19.100149,27.802753,8.702604,NaN,True,1.0,0
16,17.887585,27.796734,9.909149,NaN,True,1.0,0
22,20.646696,27.805384,7.158688,NaN,True,1.0,0
21,20.149734,27.832717,7.682983,NaN,True,1.0,0
24,22.370593,27.845362,5.474769,NaN,True,1.0,0
17,18.945087,27.873683,8.928596,NaN,True,1.0,0
23,21.871602,27.880682,6.00908,NaN,True,1.0,0
20,19.434273,27.909388,8.475115,NaN,True,1.0,0
19,19.255548,27.860034,8.604486,NaN,True,1.0,0
27,25.695637,32.792918,7.097281,NaN,True,1.0,0
26,24.602713,32.79574,8.193027,NaN,True,1.0,0
28,27.009267,32.855245,5.845978,NaN,True,1.0,0
25,23.846497,32.856812,9.010315,NaN,True,1.0,0
29,27.605511,32.86264,5.257129,NaN,True,1.0,0
33,30.937068,37.773559,6.836491,NaN,True,1.0,0
31,30.257023,37.775931,7.518908,NaN,True,1.0,0
34,31.350216,37.781982,6.431766,NaN,True,1.0,0
32,30.707079,37.789229,7.08215,NaN,True,1.0,0
30,28.382401,37.798007,9.415606,NaN,True,1.0,0
36,32.274624,37.96311,5.688486,NaN,True,1.0,0
35,31.464279,37.974906,6.510627,NaN,True,1.0,0
44,37.296638,42.760793,5.464155,NaN,True,1.0,0
43,36.664354,42.770767,6.106413,NaN,True,1.0,0
42,35.678692,42.772426,7.093734,NaN,True,1.0,0
41,34.222692,42.778398,8.555706,NaN,True,1.0,0
38,33.689638,42.783439,9.093801,NaN,True,1.0,0
40,33.960932,42.808725,8.847793,NaN,True,1.0,0
37,33.490483,42.817844,9.327361,NaN,True,1.0,0
39,33.782959,42.842669,9.05971,NaN,True,1.0,0
48,42.286096,47.723837,5.437741,NaN,True,1.0,0
46,40.045154,47.750546,7.705392,NaN,True,1.0,0
45,37.64529,47.764764,10.119474,NaN,True,1.0,0
47,40.096932,47.825604,7.728672,NaN,True,1.0,0
49,42.944828,52.783855,9.839027,NaN,True,1.0,0
52,46.645673,52.785509,6.139836,NaN,True,1.0,0
