id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,1.803671,7.895786,6.092115,NaN,True,1.0,3
1,1.838246,7.916899,6.078653,NaN,True,1.0,3
2,4.46029,12.963145,8.502855,NaN,True,1.0,3
3,4.720743,12.961564,8.240821,NaN,True,1.0,3
6,9.16385,17.993161,8.829311,NaN,True,1.0,3
4,8.438063,18.083985,9.645922,NaN,True,1.0,3
7,12.258635,18.087249,5.828614,NaN,True,1.0,3
5,8.851075,18.099223,9.248148,NaN,True,1.0,3
10,13.758707,22.94412,9.185413,NaN,True,1.0,3
8,13.116559,22.945731,9.829172,NaN,True,1.0,3
11,13.953873,22.971142,9.017269,NaN,True,1.0,3
12,14.697835,22.978218,8.280383,NaN,True,1.0,3
9,13.330681,23.072176,9.741495,NaN,True,1.0,3
13,17.088326,23.073769,5.985443,NaN,True,1.0,3
16,22.574204,27.920844,5.34664,NaN,True,1.0,3
14,19.36332,27.928064,8.564744,NaN,True,1.0,3
15,20.197705,27.947838,7.750133,NaN,True,1.0,3
19,24.007307,32.941314,8.934007,NaN,True,1.0,3
22,26.130958,32.942966,6.812008,NaN,True,1.0,3
17,23.080954,32.937954,9.857,NaN,True,1.0,3
23,26.688379,32.96102,6.272641,NaN,True,1.0,3
18,23.714722,32.96497,9.250248,NaN,True,1.0,3
21,25.062328,32.976873,7.914545,NaN,True,1.0,3
20,24.960983,32.982405,8.021422,NaN,True,1.0,3
27,30.129386,37.949209,7.819823,NaN,True,1.0,3
26,29.95614,37.988261,8.032121,NaN,True,1.0,3
24,29.278997,37.984451,8.705454,NaN,True,1.0,3
25,29.603257,37.991492,8.388235,NaN,True,1.0,3
28,30.524208,38.00516,7.480952,NaN,True,1.0,3
31,37.637272,42.97649,5.339218,NaN,True,1.0,3
30,35.15393,43.012502,7.858572,NaN,True,1.0,3
29,34.70393,43.022582,8.318652,NaN,True,1.0,3
34,39.194255,48.007412,8.813157,NaN,True,1.0,3
39,42.402252,48.005248,5.602996,NaN,True,1.0,3
35,41.464966,48.016094,6.551128,NaN,True,1.0,3
36,41.91805,48.019268,6.101218,NaN,True,1.0,3
37,42.148458,48.030947,5.882489,NaN,True,1.0,3
38,42.362268,48.084297,5.722029,NaN,True,1.0,3
32,38.170248,48.096162,9.925914,NaN,True,1.0,3
41,46.498362,52.902181,6.403819,NaN,True,1.0,3
42,47.084025,52.917011,5.832986,NaN,True,1.0,3
40,45.904145,52.966116,7.061971,NaN,True,1.0,3
44,50.876123,57.982864,7.106741,NaN,True,1.0,3
45,51.808374,58.063818,6.255444,NaN,True,1.0,3
43,48.617,58.081034,9.464034,NaN,True,1.0,3
