id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,1.610333,12.921826,11.311493,NaN,True,0.5,2
1,7.230958,17.938711,10.707753,NaN,True,0.5,2
2,10.148075,22.906521,12.758446,NaN,True,0.5,2
3,11.359594,22.94924,11.589646,NaN,True,0.5,2
4,17.975932,32.834654,14.858722,NaN,True,0.5,2
5,20.424482,32.854273,12.429791,NaN,True,0.5,2
6,22.009751,32.897237,10.887486,NaN,True,0.5,2
7,24.408697,37.905221,13.496524,NaN,True,0.5,2
9,31.607265,42.860762,11.253497,NaN,True,0.5,2
8,28.268149,42.943774,14.675625,NaN,True,0.5,2
11,33.591078,47.932835,14.341757,NaN,True,0.5,2
12,34.884241,47.957306,13.073065,NaN,True,0.5,2
10,32.757586,47.964928,15.207342,NaN,True,0.5,2
13,41.153035,52.883996,11.730961,NaN,True,0.5,2
14,41.905945,52.977749,11.071804,NaN,True,0.5,2
17,43.704432,57.968239,14.263807,NaN,True,0.5,2
18,46.095145,57.998505,11.90336,NaN,True,0.5,2
15,42.78907,57.991779,15.202709,NaN,True,0.5,2
16,42.993088,58.008522,15.015434,NaN,True,0.5,2
19,48.365256,62.825061,14.459805,NaN,True,0.5,2
20,50.373574,62.859678,12.486104,NaN,True,0.5,2
22,51.81517,62.861317,11.046147,NaN,True,0.5,2
21,51.494189,62.944263,11.450074,NaN,True,0.5,2
25,56.859923,68.025798,11.165875,NaN,True,0.5,2
24,55.54339,68.023494,12.480104,NaN,True,0.5,2
23,52.815489,68.035762,15.220273,NaN,True,0.5,2
26,61.70891,72.949752,11.240842,NaN,True,0.5,2
30,66.695785,77.953661,11.257876,NaN,True,0.5,2
27,63.203781,77.949806,14.746025,NaN,True,0.5,2
29,65.92614,77.973014,12.046874,NaN,True,0.5,2
28,63.292207,77.968555,14.676348,NaN,True,0.5,2
32,68.587464,82.813539,14.226075,NaN,True,0.5,2
31,68.181887,82.895728,14.713841,NaN,True,0.5,2
33,71.555714,82.930779,11.375065,NaN,True,0.5,2
34,76.484627,87.814469,11.329842,NaN,True,0.5,2
38,91.678705,102.984206,11.305501,NaN,True,0.5,2
36,89.871772,102.985336,13.113564,NaN,True,0.5,2
37,90.362239,102.995537,12.633298,NaN,True,0.5,2
35,89.249984,103.012239,13.762255,NaN,True,0.5,2
39,94.401406,107.91344,13.512034,NaN,True,0.5,2
40,96.462743,107.970229,11.507486,NaN,True,0.5,2
41,97.430439,107.971861,10.541422,NaN,True,0.5,2
42,98.082142,112.872734,14.790592,NaN,True,0.5,2
43,101.149878,112.90111,11.751232,NaN,True,0.5,2
44,102.702052,117.940258,15.238206,NaN,True,0.5,2
45,104.138372,117.966887,13.828515,NaN,True,0.5,2
50,112.093363,122.90443,10.811067,NaN,True,0.5,2
49,111.027506,122.909994,11.882488,NaN,True,0.5,2
47,109.954481,122.912111,12.95763,NaN,True,0.5,2
48,110.58272,122.911055,12.328335,NaN,True,0.5,2
46,109.927858,122.932391,13.004533,NaN,True,0.5,2
51,114.52382,127.935149,13.411329,NaN,True,0.5,2
53,116.658914,127.966594,11.30768,NaN,True,0.5,2
52,116.619674,127.969192,11.349518,NaN,True,0.5,2
57,122.614301,132.982216,10.367915,NaN,True,0.5,2
56,121.357717,132.992117,11.6344,NaN,True,0.5,2
55,118.049744,133.019356,14.969612,NaN,True,0.5,2
54,117.839142,133.012258,15.173116,NaN,True,0.5,2
61,125.46678,137.838397,12.371617,NaN,True,0.5,2
60,125.389115,137.875566,12.486451,NaN,True,0.5,2
59,124.320755,137.878888,13.558133,NaN,True,0.5,2
62,125.808055,137.883216,12.075161,NaN,True,0.5,2
58,122.953566,137.884275,14.930709,NaN,True,0.5,2
63,131.00477,143.007971,12.003201,NaN,True,0.5,2
66,140.304397,152.92845,12.624053,NaN,True,0.5,2
64,137.959406,152.976365,15.016959,NaN,True,0.5,2
65,140.285906,152.991746,12.70584,NaN,True,0.5,2
67,143.250151,157.920722,14.670571,NaN,True,0.5,2
71,147.243407,157.926888,10.683481,NaN,True,0.5,2
72,147.669491,158.025431,10.35594,NaN,True,0.5,2
68,143.752516,158.024885,14.272369,NaN,True,0.5,2
69,144.893578,158.022146,13.128568,NaN,True,0.5,2
73,148.393419,162.867619,14.4742,NaN,True,0.5,2
74,161.654497,172.901234,11.246737,NaN,True,0.5,2
75,165.442281,178.019856,12.577575,NaN,True,0.5,2
76,167.849074,182.936783,15.087709,NaN,True,0.5,2
77,172.050646,182.982243,10.931597,NaN,True,0.5,2
78,172.282871,182.996311,10.71344,NaN,True,0.5,2
79,173.248463,187.835169,14.586706,NaN,True,0.5,2
80,174.067103,187.845018,13.777915,NaN,True,0.5,2
82,179.692504,192.939822,13.247318,NaN,True,0.5,2
81,178.201884,193.023491,14.821607,NaN,True,0.5,2
84,181.86289,193.033572,11.170682,NaN,True,0.5,2
85,182.12843,193.046384,10.917954,NaN,True,0.5,2
83,180.394835,193.052304,12.657469,NaN,True,0.5,2
86,183.854272,197.902403,14.048131,NaN,True,0.5,2
90,192.093657,202.872805,10.779148,NaN,True,0.5,2
88,188.717702,202.86633,14.148628,NaN,True,0.5,2
89,190.099899,202.881376,12.781477,NaN,True,0.5,2
91,194.47913,207.897494,13.418364,NaN,True,0.5,2
93,197.516467,207.945153,10.428686,NaN,True,0.5,2
92,195.058519,207.969493,12.910974,NaN,True,0.5,2
96,201.306814,212.833284,11.52647,NaN,True,0.5,2
95,198.696915,212.984229,14.287314,NaN,True,0.5,2
94,198.073821,212.99468,14.920859,NaN,True,0.5,2
100,205.504628,217.845649,12.341021,NaN,True,0.5,2
99,205.280837,218.014343,12.733506,NaN,True,0.5,2
98,203.812713,218.017834,14.205121,NaN,True,0.5,2
97,203.362072,218.020455,14.658383,NaN,True,0.5,2
101,211.114723,222.838087,11.723364,NaN,True,0.5,2
102,212.27343,222.846201,10.572771,NaN,True,0.5,2
105,217.583669,227.878657,10.294988,NaN,True,0.5,2
103,213.582171,227.880224,14.298053,NaN,True,0.5,2
104,215.011629,227.987169,12.97554,NaN,True,0.5,2
106,217.814846,232.857712,15.042866,NaN,True,0.5,2
107,218.192504,232.858859,14.666355,NaN,True,0.5,2
108,227.093816,238.022271,10.928455,NaN,True,0.5,2
109,227.769061,243.04451,15.275449,NaN,True,0.5,2
110,231.811107,243.041758,11.230651,NaN,True,0.5,2
111,232.798071,247.907512,15.109441,NaN,True,0.5,2
112,234.061328,247.909636,13.848308,NaN,True,0.5,2
114,236.333003,248.048069,11.715066,NaN,True,0.5,2
113,234.388067,248.044047,13.65598,NaN,True,0.5,2
119,242.108962,253.042554,10.933592,NaN,True,0.5,2
116,239.703185,253.063213,13.360028,NaN,True,0.5,2
117,240.370539,253.06801,12.697471,NaN,True,0.5,2
115,238.154798,253.071233,14.916435,NaN,True,0.5,2
118,241.041078,253.079507,12.038429,NaN,True,0.5,2
120,243.695498,257.850735,14.155237,NaN,True,0.5,2
121,245.815791,257.860569,12.044778,NaN,True,0.5,2
122,246.71022,257.943317,11.233097,NaN,True,0.5,2
124,250.440205,262.943315,12.50311,NaN,True,0.5,2
123,250.154786,262.988869,12.834083,NaN,True,0.5,2
127,254.987381,267.930663,12.943282,NaN,True,0.5,2
128,257.318487,267.937129,10.618642,NaN,True,0.5,2
126,253.849469,267.942189,14.09272,NaN,True,0.5,2
130,261.010274,272.920259,11.909985,NaN,True,0.5,2
129,260.956515,272.939468,11.982953,NaN,True,0.5,2
134,266.999757,277.936788,10.937031,NaN,True,0.5,2
131,265.506688,277.962702,12.456014,NaN,True,0.5,2
133,266.62693,277.970113,11.343183,NaN,True,0.5,2
132,266.285976,277.974403,11.688427,NaN,True,0.5,2
138,270.483047,282.855114,12.372067,NaN,True,0.5,2
136,269.485381,282.861921,13.37654,NaN,True,0.5,2
139,271.6651,282.866765,11.201665,NaN,True,0.5,2
137,269.953325,282.871001,12.917676,NaN,True,0.5,2
135,268.019578,282.874753,14.855175,NaN,True,0.5,2
142,275.552002,287.891724,12.339722,NaN,True,0.5,2
141,274.435679,287.934832,13.499153,NaN,True,0.5,2
143,276.106659,287.946671,11.840012,NaN,True,0.5,2
140,274.287783,287.960763,13.67298,NaN,True,0.5,2
145,284.633536,297.88045,13.246914,NaN,True,0.5,2
147,286.844131,297.918477,11.074346,NaN,True,0.5,2
146,284.906913,297.929472,13.022559,NaN,True,0.5,2
144,284.042862,297.946708,13.903846,NaN,True,0.5,2
148,288.509192,302.909084,14.399892,NaN,True,0.5,2
149,292.248131,302.918991,10.67086,NaN,True,0.5,2
151,295.184135,307.893072,12.708937,NaN,True,0.5,2
150,292.982531,308.063998,15.081467,NaN,True,0.5,2
153,300.553753,312.832298,12.278545,NaN,True,0.5,2
152,300.428473,312.835578,12.407105,NaN,True,0.5,2
154,303.476766,317.891628,14.414862,NaN,True,0.5,2
156,309.300151,322.942759,13.642608,NaN,True,0.5,2
157,311.020615,323.036051,12.015436,NaN,True,0.5,2
155,307.937564,323.045404,15.10784,NaN,True,0.5,2
158,313.277474,327.84776,14.570286,NaN,True,0.5,2
159,321.024454,332.902856,11.878402,NaN,True,0.5,2
161,321.581837,332.919726,11.337889,NaN,True,0.5,2
160,321.1711,332.927383,11.756283,NaN,True,0.5,2
163,327.405651,337.981376,10.575725,NaN,True,0.5,2
165,332.247648,342.938693,10.691045,NaN,True,0.5,2
164,329.576163,342.942532,13.366369,NaN,True,0.5,2
166,332.283943,342.97658,10.692637,NaN,True,0.5,2
167,332.622641,342.971021,10.34838,NaN,True,0.5,2
169,336.688869,347.917851,11.228982,NaN,True,0.5,2
168,333.121534,347.923819,14.802285,NaN,True,0.5,2
170,339.663672,352.919441,13.255769,NaN,True,0.5,2
171,343.558604,357.91012,14.351516,NaN,True,0.5,2
173,347.011379,357.933671,10.922292,NaN,True,0.5,2
172,344.164471,357.967977,13.803506,NaN,True,0.5,2
174,348.388164,362.979682,14.591518,NaN,True,0.5,2
179,355.154722,367.93879,12.784068,NaN,True,0.5,2
178,355.083862,367.935033,12.851171,NaN,True,0.5,2
180,355.579254,367.9606,12.381346,NaN,True,0.5,2
181,357.299328,367.940387,10.641059,NaN,True,0.5,2
175,353.298521,367.985569,14.687048,NaN,True,0.5,2
176,353.930407,367.991221,14.060814,NaN,True,0.5,2
177,354.55177,368.004059,13.452289,NaN,True,0.5,2
183,361.09414,372.912422,11.818282,NaN,True,0.5,2
182,359.089559,372.993261,13.903702,NaN,True,0.5,2
186,367.25028,377.842061,10.591781,NaN,True,0.5,2
185,366.737472,377.891376,11.153904,NaN,True,0.5,2
184,366.398846,377.977414,11.578568,NaN,True,0.5,2
187,371.008771,382.89863,11.889859,NaN,True,0.5,2
188,372.069757,382.904579,10.834822,NaN,True,0.5,2
190,374.844627,387.900911,13.056284,NaN,True,0.5,2
189,373.65328,387.918432,14.265152,NaN,True,0.5,2
191,381.596609,392.907988,11.311379,NaN,True,0.5,2
192,385.739252,397.936403,12.197151,NaN,True,0.5,2
193,386.016019,397.997836,11.981817,NaN,True,0.5,2
197,395.996273,407.851674,11.855401,NaN,True,0.5,2
196,395.624454,407.841491,12.217037,NaN,True,0.5,2
195,393.634207,407.850055,14.215848,NaN,True,0.5,2
200,402.010564,412.890719,10.880155,NaN,True,0.5,2
198,399.116169,412.927786,13.811617,NaN,True,0.5,2
199,399.749667,412.919425,13.169758,NaN,True,0.5,2
201,402.760829,417.889481,15.128652,NaN,True,0.5,2
203,407.359571,417.891327,10.531756,NaN,True,0.5,2
202,406.030011,417.932367,11.902356,NaN,True,0.5,2
205,410.97901,422.829109,11.850099,NaN,True,0.5,2
204,410.415809,422.916315,12.500506,NaN,True,0.5,2
208,416.71593,427.924236,11.208306,NaN,True,0.5,2
207,416.325442,427.943712,11.61827,NaN,True,0.5,2
206,414.395433,427.955315,13.559882,NaN,True,0.5,2
