id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,1.216672,8.091388,6.874716,NaN,True,1.0,0
1,6.740954,13.045813,6.304859,NaN,True,1.0,0
3,11.952844,18.173217,6.220373,NaN,True,1.0,0
2,11.47636,18.175216,6.698856,NaN,True,1.0,0
5,13.285452,23.06078,9.775328,NaN,True,1.0,0
7,16.581513,23.128661,6.547148,NaN,True,1.0,0
4,12.856902,23.129725,10.272823,NaN,True,1.0,0
8,17.177687,23.131289,5.953602,NaN,True,1.0,0
6,16.531561,23.144958,6.613397,NaN,True,1.0,0
11,19.414736,28.034959,8.620223,NaN,True,1.0,0
10,19.378164,28.055191,8.677027,NaN,True,1.0,0
14,22.327449,28.08464,5.757191,NaN,True,1.0,0
15,22.573092,28.088913,5.515821,NaN,True,1.0,0
9,18.962056,28.090524,9.128468,NaN,True,1.0,0
12,21.044695,28.099095,7.0544,NaN,True,1.0,0
13,21.357505,28.103858,6.746353,NaN,True,1.0,0
20,26.103615,33.105318,7.001703,NaN,True,1.0,0
19,25.239887,33.107319,7.867432,NaN,True,1.0,0
17,24.17351,33.112691,8.939181,NaN,True,1.0,0
16,23.572615,33.122087,9.549472,NaN,True,1.0,0
22,28.24896,38.062853,9.813893,NaN,True,1.0,0
27,31.141822,38.079098,6.937276,NaN,True,1.0,0
26,30.383866,38.083488,7.699622,NaN,True,1.0,0
24,29.687708,38.090029,8.402321,NaN,True,1.0,0
21,28.235256,38.135228,9.899972,NaN,True,1.0,0
25,30.334754,38.136302,7.801548,NaN,True,1.0,0
23,29.299291,38.156246,8.856955,NaN,True,1.0,0
32,36.913133,43.063144,6.150011,NaN,True,1.0,0
30,35.805139,43.082692,7.277553,NaN,True,1.0,0
28,33.252202,43.083795,9.831593,NaN,True,1.0,0
31,36.027437,43.10729,7.079853,NaN,True,1.0,0
35,37.699011,43.115963,5.416952,NaN,True,1.0,0
34,37.210446,43.122482,5.912036,NaN,True,1.0,0
29,34.505352,43.117064,8.611712,NaN,True,1.0,0
36,39.533931,48.131507,8.597576,NaN,True,1.0,0
38,40.848513,48.141484,7.292971,NaN,True,1.0,0
37,40.182658,48.136478,7.95382,NaN,True,1.0,0
42,45.452152,52.999066,7.546914,NaN,True,1.0,0
43,46.039174,53.003062,6.963888,NaN,True,1.0,0
40,43.800065,53.000062,9.199997,NaN,True,1.0,0
41,44.447088,53.005062,8.557974,NaN,True,1.0,0
39,42.976975,53.067846,10.090871,NaN,True,1.0,0
44,50.368805,57.981451,7.612646,NaN,True,1.0,0
45,50.446629,58.073452,7.626823,NaN,True,1.0,0
47,57.678554,63.120514,5.44196,NaN,True,1.0,0
46,54.059591,63.113465,9.053874,NaN,True,1.0,0
50,62.610051,68.108643,5.498592,NaN,True,1.0,0
49,59.754939,68.125178,8.370239,NaN,True,1.0,0
