id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,2.002874,12.90458,10.901706,NaN,True,0.5,1
3,11.522837,22.921205,11.398368,NaN,True,0.5,1
2,9.650728,22.998395,13.347667,NaN,True,0.5,1
1,9.108096,23.027304,13.919208,NaN,True,0.5,1
7,17.436603,27.880253,10.44365,NaN,True,0.5,1
6,16.454723,27.883255,11.428532,NaN,True,0.5,1
5,13.6507,28.002323,14.351623,NaN,True,0.5,1
4,12.874669,28.005541,15.130872,NaN,True,0.5,1
10,21.766008,32.99339,11.227382,NaN,True,0.5,1
9,21.38446,33.002348,11.617888,NaN,True,0.5,1
8,20.713839,33.057114,12.343275,NaN,True,0.5,1
12,27.036596,38.023702,10.987106,NaN,True,0.5,1
11,25.25016,38.029249,12.779089,NaN,True,0.5,1
17,31.306841,42.911989,11.605148,NaN,True,0.5,1
14,29.433169,42.914347,13.481178,NaN,True,0.5,1
13,28.167988,42.916079,14.748091,NaN,True,0.5,1
16,31.0586,42.940598,11.881998,NaN,True,0.5,1
15,29.802324,42.962712,13.160388,NaN,True,0.5,1
18,33.220529,47.880421,14.659892,NaN,True,0.5,1
19,35.086667,47.878276,12.791609,NaN,True,0.5,1
20,39.554723,52.936729,13.382006,NaN,True,0.5,1
21,40.793234,52.982259,12.189025,NaN,True,0.5,1
22,43.191697,57.897116,14.705419,NaN,True,0.5,1
23,43.445982,57.903316,14.457334,NaN,True,0.5,1
24,43.952497,57.901935,13.949438,NaN,True,0.5,1
26,51.388758,62.914274,11.525516,NaN,True,0.5,1
27,51.668589,62.922428,11.253839,NaN,True,0.5,1
25,50.92291,62.918651,11.995741,NaN,True,0.5,1
30,61.203963,72.992975,11.789012,NaN,True,0.5,1
29,59.831313,73.037389,13.206076,NaN,True,0.5,1
28,59.509916,73.053453,13.543537,NaN,True,0.5,1
31,65.945591,77.858698,11.913107,NaN,True,0.5,1
33,68.8178,82.937354,14.119554,NaN,True,0.5,1
32,67.912313,82.960353,15.04804,NaN,True,0.5,1
34,69.829269,82.966652,13.137383,NaN,True,0.5,1
40,81.67002,92.912943,11.242923,NaN,True,0.5,1
35,77.861932,92.915744,15.053812,NaN,True,0.5,1
37,80.200345,92.917921,12.717576,NaN,True,0.5,1
41,82.663331,92.927864,10.264533,NaN,True,0.5,1
36,79.060382,92.958971,13.898589,NaN,True,0.5,1
38,80.391318,92.961648,12.57033,NaN,True,0.5,1
39,81.097107,92.969113,11.872006,NaN,True,0.5,1
44,91.430003,102.91222,11.482217,NaN,True,0.5,1
45,91.564099,102.917214,11.353115,NaN,True,0.5,1
42,88.071544,102.927631,14.856087,NaN,True,0.5,1
46,92.135853,102.962023,10.82617,NaN,True,0.5,1
43,91.428154,102.974349,11.546195,NaN,True,0.5,1
48,94.700499,107.999842,13.299343,NaN,True,0.5,1
47,94.048132,107.993617,13.945485,NaN,True,0.5,1
49,98.005897,112.93299,14.927093,NaN,True,0.5,1
51,105.813716,117.923146,12.10943,NaN,True,0.5,1
50,104.686106,117.924807,13.238701,NaN,True,0.5,1
52,106.046167,117.928533,11.882366,NaN,True,0.5,1
53,111.504549,123.059186,11.554637,NaN,True,0.5,1
54,113.018771,127.92783,14.909059,NaN,True,0.5,1
56,114.844745,127.989416,13.144671,NaN,True,0.5,1
55,114.690803,127.987222,13.296419,NaN,True,0.5,1
59,116.661535,127.998311,11.336776,NaN,True,0.5,1
58,116.610633,128.026182,11.415549,NaN,True,0.5,1
57,116.538074,128.019799,11.481725,NaN,True,0.5,1
62,120.579889,132.901552,12.321663,NaN,True,0.5,1
60,118.965597,132.947263,13.981666,NaN,True,0.5,1
61,119.310116,132.969915,13.659799,NaN,True,0.5,1
65,125.643919,137.969466,12.325547,NaN,True,0.5,1
67,127.000387,137.973737,10.97335,NaN,True,0.5,1
64,125.505081,137.976414,12.471333,NaN,True,0.5,1
66,125.712722,138.001215,12.288493,NaN,True,0.5,1
68,130.432204,143.007647,12.575443,NaN,True,0.5,1
72,137.059267,147.887472,10.828205,NaN,True,0.5,1
71,136.725414,147.890461,11.165047,NaN,True,0.5,1
70,136.689049,147.897461,11.208412,NaN,True,0.5,1
69,136.199974,147.89346,11.693486,NaN,True,0.5,1
74,142.35248,152.895112,10.542632,NaN,True,0.5,1
76,147.055922,157.95851,10.902588,NaN,True,0.5,1
75,145.541301,157.975629,12.434328,NaN,True,0.5,1
77,152.695752,162.863672,10.16792,NaN,True,0.5,1
78,155.053554,167.854763,12.801209,NaN,True,0.5,1
79,161.313378,172.929123,11.615745,NaN,True,0.5,1
80,161.388425,172.943538,11.555113,NaN,True,0.5,1
81,163.460375,178.065835,14.60546,NaN,True,0.5,1
82,169.433488,182.924118,13.49063,NaN,True,0.5,1
83,170.828233,182.943894,12.115661,NaN,True,0.5,1
84,172.096465,182.953678,10.857213,NaN,True,0.5,1
88,176.949861,187.942931,10.99307,NaN,True,0.5,1
86,176.617455,187.993326,11.375871,NaN,True,0.5,1
85,176.075657,188.007337,11.93168,NaN,True,0.5,1
87,176.64976,187.998319,11.348559,NaN,True,0.5,1
90,179.127251,192.897586,13.770335,NaN,True,0.5,1
89,178.692923,192.933989,14.241066,NaN,True,0.5,1
93,192.511571,202.959579,10.448008,NaN,True,0.5,1
91,189.549754,202.967405,13.417651,NaN,True,0.5,1
92,190.678359,202.973628,12.295269,NaN,True,0.5,1
94,197.329552,207.958201,10.628649,NaN,True,0.5,1
97,201.86939,212.905058,11.035668,NaN,True,0.5,1
95,197.891073,212.934004,15.042931,NaN,True,0.5,1
96,199.397192,212.952783,13.555591,NaN,True,0.5,1
98,203.80778,217.967342,14.159562,NaN,True,0.5,1
102,211.456532,222.894877,11.438345,NaN,True,0.5,1
99,208.047124,222.898904,14.85178,NaN,True,0.5,1
100,210.237411,222.888879,12.651468,NaN,True,0.5,1
101,210.489425,222.896878,12.407453,NaN,True,0.5,1
104,217.196984,227.975395,10.778411,NaN,True,0.5,1
103,215.230811,227.97756,12.746749,NaN,True,0.5,1
105,218.281843,232.966252,14.684409,NaN,True,0.5,1
106,218.597031,232.992582,14.395551,NaN,True,0.5,1
107,218.821373,233.037857,14.216484,NaN,True,0.5,1
108,223.377353,237.972286,14.594933,NaN,True,0.5,1
111,225.603518,237.985819,12.382301,NaN,True,0.5,1
112,226.05524,238.003962,11.948722,NaN,True,0.5,1
109,223.744341,238.041722,14.297381,NaN,True,0.5,1
110,225.541827,238.043914,12.502087,NaN,True,0.5,1
113,232.724417,242.899377,10.17496,NaN,True,0.5,1
114,234.247248,247.982308,13.73506,NaN,True,0.5,1
115,237.758576,252.900716,15.14214,NaN,True,0.5,1
116,241.89617,252.908591,11.012421,NaN,True,0.5,1
121,246.198463,257.898895,11.700432,NaN,True,0.5,1
119,244.837663,257.89719,13.059527,NaN,True,0.5,1
120,245.698481,257.902232,12.203751,NaN,True,0.5,1
118,244.271854,257.903316,13.631462,NaN,True,0.5,1
117,243.759296,257.907663,14.148367,NaN,True,0.5,1
122,248.216274,262.956703,14.740429,NaN,True,0.5,1
124,254.156374,267.927956,13.771582,NaN,True,0.5,1
125,254.785694,267.931743,13.146049,NaN,True,0.5,1
123,252.923294,267.993595,15.070301,NaN,True,0.5,1
126,256.371585,268.001299,11.629714,NaN,True,0.5,1
129,260.481679,273.02946,12.547781,NaN,True,0.5,1
131,262.716484,273.048907,10.332423,NaN,True,0.5,1
128,258.717682,273.055505,14.337823,NaN,True,0.5,1
130,260.849736,273.06291,12.213174,NaN,True,0.5,1
127,258.626896,273.066184,14.439288,NaN,True,0.5,1
133,267.634767,277.892971,10.258204,NaN,True,0.5,1
132,264.678821,277.985298,13.306477,NaN,True,0.5,1
134,271.753202,282.991356,11.238154,NaN,True,0.5,1
135,272.66738,283.002701,10.335321,NaN,True,0.5,1
139,277.257324,288.03024,10.772916,NaN,True,0.5,1
138,277.197777,288.031927,10.83415,NaN,True,0.5,1
137,276.558878,288.032991,11.474113,NaN,True,0.5,1
141,281.088024,292.923984,11.83596,NaN,True,0.5,1
142,282.728175,292.919488,10.191313,NaN,True,0.5,1
140,279.283683,292.926765,13.643082,NaN,True,0.5,1
143,285.494775,297.880043,12.385268,NaN,True,0.5,1
144,287.632197,297.995451,10.363254,NaN,True,0.5,1
145,291.059127,302.874151,11.815024,NaN,True,0.5,1
146,295.982005,307.865304,11.883299,NaN,True,0.5,1
147,297.46196,307.950114,10.488154,NaN,True,0.5,1
148,298.357728,313.087337,14.729609,NaN,True,0.5,1
151,307.135897,318.002278,10.866381,NaN,True,0.5,1
149,303.175178,318.032735,14.857557,NaN,True,0.5,1
152,307.472027,318.045392,10.573365,NaN,True,0.5,1
150,305.5085,318.048422,12.539922,NaN,True,0.5,1
155,310.914021,322.892733,11.978712,NaN,True,0.5,1
154,310.545867,322.924717,12.37885,NaN,True,0.5,1
153,310.33267,322.973462,12.640792,NaN,True,0.5,1
157,317.270622,327.951072,10.68045,NaN,True,0.5,1
156,313.545664,327.962513,14.416849,NaN,True,0.5,1
158,322.239174,332.911348,10.672174,NaN,True,0.5,1
160,326.904681,337.861981,10.9573,NaN,True,0.5,1
159,325.795783,337.864261,12.068478,NaN,True,0.5,1
162,328.97822,342.937102,13.958882,NaN,True,0.5,1
161,328.468254,342.944566,14.476312,NaN,True,0.5,1
163,337.264781,347.867166,10.602385,NaN,True,0.5,1
166,338.6398,352.899011,14.259211,NaN,True,0.5,1
165,337.98097,352.931568,14.950598,NaN,True,0.5,1
164,337.888403,352.934338,15.045935,NaN,True,0.5,1
168,349.808975,363.023449,13.214474,NaN,True,0.5,1
169,352.15116,363.030711,10.879551,NaN,True,0.5,1
171,357.151624,367.915779,10.764155,NaN,True,0.5,1
170,356.789779,367.91378,11.124001,NaN,True,0.5,1
173,361.711243,372.877472,11.166229,NaN,True,0.5,1
172,358.983285,372.933252,13.949967,NaN,True,0.5,1
177,367.651258,377.95738,10.306122,NaN,True,0.5,1
176,367.551693,378.058883,10.50719,NaN,True,0.5,1
175,365.670431,378.066561,12.39613,NaN,True,0.5,1
174,364.475107,378.068206,13.593099,NaN,True,0.5,1
180,371.490591,383.103804,11.613213,NaN,True,0.5,1
178,369.664239,383.097401,13.433162,NaN,True,0.5,1
179,369.725728,383.094625,13.368897,NaN,True,0.5,1
181,372.159506,383.116481,10.956975,NaN,True,0.5,1
182,372.775795,387.977009,15.201214,NaN,True,0.5,1
184,374.995629,387.990822,12.995193,NaN,True,0.5,1
183,373.453053,388.0128,14.559747,NaN,True,0.5,1
185,376.976114,388.004234,11.02812,NaN,True,0.5,1
186,377.530567,387.997297,10.46673,NaN,True,0.5,1
189,382.230653,392.950626,10.719973,NaN,True,0.5,1
187,379.331674,392.984148,13.652474,NaN,True,0.5,1
188,381.079055,393.000885,11.92183,NaN,True,0.5,1
192,385.329041,397.892322,12.563281,NaN,True,0.5,1
193,385.683401,397.9012,12.217799,NaN,True,0.5,1
191,384.114134,397.903868,13.789734,NaN,True,0.5,1
190,382.98827,397.908156,14.919886,NaN,True,0.5,1
196,390.623821,402.934717,12.310896,NaN,True,0.5,1
195,390.565923,402.952672,12.386749,NaN,True,0.5,1
194,390.242576,402.963102,12.720526,NaN,True,0.5,1
197,394.769512,407.905049,13.135537,NaN,True,0.5,1
198,399.223953,412.932424,13.708471,NaN,True,0.5,1
201,404.712177,417.951909,13.239732,NaN,True,0.5,1
202,405.055294,417.955908,12.900614,NaN,True,0.5,1
199,402.752423,417.969976,15.217553,NaN,True,0.5,1
200,404.516247,417.985607,13.46936,NaN,True,0.5,1
203,408.349177,422.994088,14.644911,NaN,True,0.5,1
204,412.425683,422.990823,10.56514,NaN,True,0.5,1
205,412.826779,427.871396,15.044617,NaN,True,0.5,1
206,425.733042,438.005495,12.272453,NaN,True,0.5,1
209,432.264526,442.997979,10.733453,NaN,True,0.5,1
208,431.599735,443.009663,11.409928,NaN,True,0.5,1
207,428.711529,443.027539,14.31601,NaN,True,0.5,1
211,435.03127,447.974447,12.943177,NaN,True,0.5,1
210,434.885207,447.984268,13.099061,NaN,True,0.5,1
212,437.196842,447.991891,10.795049,NaN,True,0.5,1
214,441.751645,453.001612,11.249967,NaN,True,0.5,1
215,442.618583,453.014769,10.396186,NaN,True,0.5,1
217,445.27805,457.997941,12.719891,NaN,True,0.5,1
216,445.243633,458.00418,12.760547,NaN,True,0.5,1
218,452.744539,462.884269,10.13973,NaN,True,0.5,1
219,455.051473,467.893514,12.842041,NaN,True,0.5,1
220,455.529577,467.892383,12.362806,NaN,True,0.5,1
221,456.244534,467.897802,11.653268,NaN,True,0.5,1
223,460.345066,472.93204,12.586974,NaN,True,0.5,1
222,458.826338,472.944729,14.118391,NaN,True,0.5,1
224,462.682061,472.962465,10.280404,NaN,True,0.5,1
225,463.073447,477.912547,14.8391,NaN,True,0.5,1
226,464.289551,477.98087,13.691319,NaN,True,0.5,1
231,470.3247,482.888021,12.563321,NaN,True,0.5,1
229,470.033238,482.922002,12.888764,NaN,True,0.5,1
230,470.176938,482.924002,12.747064,NaN,True,0.5,1
232,470.481815,482.96039,12.478575,NaN,True,0.5,1
228,468.84029,482.96892,14.12863,NaN,True,0.5,1
234,480.166473,492.899716,12.733243,NaN,True,0.5,1
236,481.660035,492.944441,11.284406,NaN,True,0.5,1
233,479.488794,492.943354,13.45456,NaN,True,0.5,1
235,481.200821,492.9466,11.745779,NaN,True,0.5,1
237,481.884778,492.981657,11.096879,NaN,True,0.5,1
238,487.967058,502.859987,14.892929,NaN,True,0.5,1
