id,start_fun,end_fun,time_fun,address,status,lambda,num_run
1,1.660485,12.56935,10.908865,NaN,True,2.0,0
0,1.299349,12.598339,11.29899,NaN,True,2.0,0
2,2.177473,12.632089,10.454616,NaN,True,2.0,0
12,6.194767,17.525644,11.330877,NaN,True,2.0,0
5,3.301363,17.536865,14.235502,NaN,True,2.0,0
8,5.058265,17.575517,12.517252,NaN,True,2.0,0
6,3.81333,17.57832,13.76499,NaN,True,2.0,0
10,5.54094,17.581166,12.040226,NaN,True,2.0,0
7,4.221755,17.572766,13.351011,NaN,True,2.0,0
3,2.710416,17.593981,14.883565,NaN,True,2.0,0
4,2.943209,17.617545,14.674336,NaN,True,2.0,0
9,5.15146,17.688589,12.537129,NaN,True,2.0,0
11,6.023846,17.675909,11.652063,NaN,True,2.0,0
15,9.883163,22.693083,12.80992,NaN,True,2.0,0
17,10.736489,22.686064,11.949575,NaN,True,2.0,0
13,8.827078,22.707529,13.880451,NaN,True,2.0,0
14,9.693819,22.708582,13.014763,NaN,True,2.0,0
18,11.71179,22.711731,10.999941,NaN,True,2.0,0
16,10.05098,22.739853,12.688873,NaN,True,2.0,0
19,12.453199,27.680161,15.226962,NaN,True,2.0,0
23,13.95464,27.693142,13.738502,NaN,True,2.0,0
24,14.50188,27.704637,13.202757,NaN,True,2.0,0
20,12.621562,27.709268,15.087706,NaN,True,2.0,0
21,13.068453,27.709268,14.640815,NaN,True,2.0,0
25,16.793404,27.719241,10.925837,NaN,True,2.0,0
26,17.548402,32.563133,15.014731,NaN,True,2.0,0
29,20.028781,32.595515,12.566734,NaN,True,2.0,0
30,21.471384,32.617242,11.145858,NaN,True,2.0,0
27,18.598997,32.596747,13.99775,NaN,True,2.0,0
28,19.709844,32.81785,13.108006,NaN,True,2.0,0
39,26.137481,37.626123,11.488642,NaN,True,2.0,0
36,25.487724,37.630466,12.142742,NaN,True,2.0,0
33,23.874208,37.63477,13.760562,NaN,True,2.0,0
31,22.846866,37.647639,14.800773,NaN,True,2.0,0
35,24.155212,37.648707,13.493495,NaN,True,2.0,0
38,25.882751,37.655701,11.77295,NaN,True,2.0,0
32,23.566489,37.660651,14.094162,NaN,True,2.0,0
37,25.765792,37.665412,11.89962,NaN,True,2.0,0
40,26.310081,37.685895,11.375814,NaN,True,2.0,0
34,24.041413,37.710146,13.668733,NaN,True,2.0,0
45,29.913154,42.562992,12.649838,NaN,True,2.0,0
42,28.565855,42.573266,14.007411,NaN,True,2.0,0
47,30.297813,42.585492,12.287679,NaN,True,2.0,0
46,30.157317,42.590904,12.433587,NaN,True,2.0,0
50,30.960909,42.606907,11.645998,NaN,True,2.0,0
49,30.46387,42.647524,12.183654,NaN,True,2.0,0
43,29.358391,42.61438,13.255989,NaN,True,2.0,0
44,29.861651,42.661321,12.79967,NaN,True,2.0,0
48,30.437486,42.658668,12.221182,NaN,True,2.0,0
51,31.894821,42.686281,10.79146,NaN,True,2.0,0
53,33.898629,47.600647,13.702018,NaN,True,2.0,0
52,33.76515,47.642113,13.876963,NaN,True,2.0,0
57,38.837377,52.741544,13.904167,NaN,True,2.0,0
64,42.216294,52.752002,10.535708,NaN,True,2.0,0
63,41.514885,52.75096,11.236075,NaN,True,2.0,0
61,40.266629,52.757503,12.490874,NaN,True,2.0,0
56,38.151453,52.755214,14.603761,NaN,True,2.0,0
58,39.665048,52.767682,13.102634,NaN,True,2.0,0
59,39.701168,52.767146,13.065978,NaN,True,2.0,0
62,41.292794,52.776665,11.483871,NaN,True,2.0,0
60,40.222913,52.785402,12.562489,NaN,True,2.0,0
55,37.492324,52.814686,15.322362,NaN,True,2.0,0
77,46.713898,57.641994,10.928096,NaN,True,2.0,0
71,44.092151,57.657947,13.565796,NaN,True,2.0,0
66,42.93243,57.666588,14.734158,NaN,True,2.0,0
75,45.726768,57.644117,11.917349,NaN,True,2.0,0
73,45.502219,57.691126,12.188907,NaN,True,2.0,0
69,43.800056,57.731647,13.931591,NaN,True,2.0,0
76,45.76699,57.69748,11.93049,NaN,True,2.0,0
74,45.602118,57.708562,12.106444,NaN,True,2.0,0
68,43.750346,57.743875,13.993529,NaN,True,2.0,0
65,42.679781,57.741744,15.061963,NaN,True,2.0,0
72,45.236798,57.786442,12.549644,NaN,True,2.0,0
70,43.920545,57.836966,13.916421,NaN,True,2.0,0
67,42.981315,57.823637,14.842322,NaN,True,2.0,0
88,51.180481,62.603644,11.423163,NaN,True,2.0,0
86,50.674669,62.621445,11.946776,NaN,True,2.0,0
82,50.06216,62.61559,12.55343,NaN,True,2.0,0
89,51.20414,62.623561,11.419421,NaN,True,2.0,0
81,49.958028,62.655013,12.696985,NaN,True,2.0,0
78,47.507417,62.804037,15.29662,NaN,True,2.0,0
80,49.051124,62.802448,13.751324,NaN,True,2.0,0
90,51.418347,62.846532,11.428185,NaN,True,2.0,0
87,50.983847,62.86349,11.879643,NaN,True,2.0,0
83,50.393404,62.893998,12.500594,NaN,True,2.0,0
85,50.566467,62.895591,12.329124,NaN,True,2.0,0
79,49.019418,62.921505,13.902087,NaN,True,2.0,0
84,50.396064,62.947828,12.551764,NaN,True,2.0,0
102,57.095399,67.799345,10.703946,NaN,True,2.0,0
100,55.951433,67.821401,11.869968,NaN,True,2.0,0
97,54.185243,67.82406,13.638817,NaN,True,2.0,0
98,54.295924,67.815575,13.519651,NaN,True,2.0,0
94,52.781623,67.81771,15.036087,NaN,True,2.0,0
95,52.971215,67.822999,14.851784,NaN,True,2.0,0
91,52.355303,67.872817,15.517514,NaN,True,2.0,0
93,52.614616,67.831575,15.216959,NaN,True,2.0,0
103,57.133711,67.850246,10.716535,NaN,True,2.0,0
107,60.781968,72.608858,11.82689,NaN,True,2.0,0
106,60.000252,72.638459,12.638207,NaN,True,2.0,0
105,58.308688,72.629921,14.321233,NaN,True,2.0,0
108,60.957467,72.688958,11.731491,NaN,True,2.0,0
104,57.953476,72.736411,14.782935,NaN,True,2.0,0
109,61.783872,72.76452,10.980648,NaN,True,2.0,0
118,66.814392,77.628798,10.814406,NaN,True,2.0,0
117,66.402177,77.633568,11.231391,NaN,True,2.0,0
113,63.732999,77.699333,13.966334,NaN,True,2.0,0
116,66.354083,77.673548,11.319465,NaN,True,2.0,0
115,65.084064,77.708491,12.624427,NaN,True,2.0,0
124,70.052065,82.64941,12.597345,NaN,True,2.0,0
123,69.831825,82.654621,12.822796,NaN,True,2.0,0
127,70.715359,82.795868,12.080509,NaN,True,2.0,0
121,68.301717,82.798542,14.496825,NaN,True,2.0,0
125,70.143728,82.801745,12.658017,NaN,True,2.0,0
126,70.590972,82.800158,12.209186,NaN,True,2.0,0
130,72.137482,82.806049,10.668567,NaN,True,2.0,0
128,71.181083,82.809763,11.62868,NaN,True,2.0,0
122,69.341117,82.81289,13.471773,NaN,True,2.0,0
129,71.730782,82.814459,11.083677,NaN,True,2.0,0
120,67.978685,82.817092,14.838407,NaN,True,2.0,0
119,67.803103,82.823853,15.02075,NaN,True,2.0,0
134,73.853451,87.745071,13.89162,NaN,True,2.0,0
135,74.925168,87.745071,12.819903,NaN,True,2.0,0
131,72.607267,87.76113,15.153863,NaN,True,2.0,0
133,73.321806,87.767848,14.446042,NaN,True,2.0,0
137,75.588678,87.772828,12.18415,NaN,True,2.0,0
140,76.622196,87.775611,11.153415,NaN,True,2.0,0
139,76.467219,87.777255,11.310036,NaN,True,2.0,0
132,72.897032,87.816327,14.919295,NaN,True,2.0,0
141,77.015487,87.828064,10.812577,NaN,True,2.0,0
138,75.669452,87.842724,12.173272,NaN,True,2.0,0
136,75.146019,87.85399,12.707971,NaN,True,2.0,0
144,77.449603,92.731744,15.282141,NaN,True,2.0,0
142,77.403763,92.737124,15.333361,NaN,True,2.0,0
143,77.425102,92.760248,15.335146,NaN,True,2.0,0
148,81.406166,92.76999,11.363824,NaN,True,2.0,0
147,79.997975,92.806919,12.808944,NaN,True,2.0,0
150,81.687611,92.822438,11.134827,NaN,True,2.0,0
145,77.61653,92.80151,15.18498,NaN,True,2.0,0
146,79.09573,92.820249,13.724519,NaN,True,2.0,0
151,82.01237,92.860045,10.847675,NaN,True,2.0,0
162,86.154953,97.594195,11.439242,NaN,True,2.0,0
161,86.018509,97.591026,11.572517,NaN,True,2.0,0
158,84.703137,97.658771,12.955634,NaN,True,2.0,0
153,82.62389,97.660388,15.036498,NaN,True,2.0,0
165,86.932127,97.844928,10.912801,NaN,True,2.0,0
155,83.798605,97.857285,14.05868,NaN,True,2.0,0
157,84.443263,97.90474,13.461477,NaN,True,2.0,0
163,86.323814,97.899426,11.575612,NaN,True,2.0,0
167,87.093366,97.864473,10.771107,NaN,True,2.0,0
156,84.144038,98.030683,13.886645,NaN,True,2.0,0
172,88.341318,88.341318,0.0,NaN,False,2.0,0
186,98.120424,98.120424,0.0,NaN,False,2.0,0
174,91.129754,91.129754,0.0,NaN,False,2.0,0
170,87.316407,87.316407,0.0,NaN,False,2.0,0
173,89.978028,89.978028,0.0,NaN,False,2.0,0
171,87.92831,87.92831,0.0,NaN,False,2.0,0
178,94.9099,94.9099,0.0,NaN,False,2.0,0
169,87.170849,87.170849,0.0,NaN,False,2.0,0
189,99.955697,99.955697,0.0,NaN,False,2.0,0
185,96.676334,96.676334,0.0,NaN,False,2.0,0
184,96.494099,96.494099,0.0,NaN,False,2.0,0
181,95.940597,95.940597,0.0,NaN,False,2.0,0
180,95.547751,95.547751,0.0,NaN,False,2.0,0
177,94.825881,94.825881,0.0,NaN,False,2.0,0
168,87.151439,87.151439,0.0,NaN,False,2.0,0
175,92.767849,92.767849,0.0,NaN,False,2.0,0
176,94.561681,94.561681,0.0,NaN,False,2.0,0
187,98.357934,98.357934,0.0,NaN,False,2.0,0
191,102.009206,102.009206,0.0,NaN,False,2.0,0
192,102.644326,102.644326,0.0,NaN,False,2.0,0
193,102.851595,102.851595,0.0,NaN,False,2.0,0
194,103.845618,103.845618,0.0,NaN,False,2.0,0
195,103.986865,103.986865,0.0,NaN,False,2.0,0
196,105.973225,105.973225,0.0,NaN,False,2.0,0
197,106.379891,106.379891,0.0,NaN,False,2.0,0
198,106.453206,106.453206,0.0,NaN,False,2.0,0
199,106.552363,106.552363,0.0,NaN,False,2.0,0
200,106.933006,106.933006,0.0,NaN,False,2.0,0
201,108.517483,108.517483,0.0,NaN,False,2.0,0
202,109.324525,109.324525,0.0,NaN,False,2.0,0
203,109.434256,109.434256,0.0,NaN,False,2.0,0
204,110.153635,110.153635,0.0,NaN,False,2.0,0
205,110.559653,110.559653,0.0,NaN,False,2.0,0
206,110.63187,110.63187,0.0,NaN,False,2.0,0
207,110.703267,110.703267,0.0,NaN,False,2.0,0
208,111.120721,111.120721,0.0,NaN,False,2.0,0
209,111.21208,111.21208,0.0,NaN,False,2.0,0
210,111.743873,111.743873,0.0,NaN,False,2.0,0
211,112.197588,112.197588,0.0,NaN,False,2.0,0
212,113.774605,113.774605,0.0,NaN,False,2.0,0
213,114.596785,114.596785,0.0,NaN,False,2.0,0
214,114.753052,114.753052,0.0,NaN,False,2.0,0
215,115.422953,115.422953,0.0,NaN,False,2.0,0
216,115.582211,115.582211,0.0,NaN,False,2.0,0
217,115.707169,115.707169,0.0,NaN,False,2.0,0
218,115.786896,115.786896,0.0,NaN,False,2.0,0
219,116.81877,116.81877,0.0,NaN,False,2.0,0
220,117.790642,117.790642,0.0,NaN,False,2.0,0
221,117.947682,117.947682,0.0,NaN,False,2.0,0
222,117.978632,117.978632,0.0,NaN,False,2.0,0
223,118.166286,118.166286,0.0,NaN,False,2.0,0
224,119.152188,119.152188,0.0,NaN,False,2.0,0
225,119.497458,119.497458,0.0,NaN,False,2.0,0
226,119.528719,119.528719,0.0,NaN,False,2.0,0
227,119.716567,119.716567,0.0,NaN,False,2.0,0
228,120.438607,120.438607,0.0,NaN,False,2.0,0
229,120.527985,120.527985,0.0,NaN,False,2.0,0
230,120.827396,120.827396,0.0,NaN,False,2.0,0
231,120.968224,120.968224,0.0,NaN,False,2.0,0
232,121.46106,132.651901,11.190841,NaN,True,2.0,0
241,126.318223,137.65561,11.337387,NaN,True,2.0,0
238,124.899535,137.679243,12.779708,NaN,True,2.0,0
233,122.714084,137.696114,14.98203,NaN,True,2.0,0
240,125.95844,137.676604,11.718164,NaN,True,2.0,0
234,123.010056,137.732555,14.722499,NaN,True,2.0,0
242,126.506463,137.735998,11.229535,NaN,True,2.0,0
239,125.478223,137.724753,12.24653,NaN,True,2.0,0
236,123.275159,137.725316,14.450157,NaN,True,2.0,0
247,130.563777,142.760211,12.196434,NaN,True,2.0,0
246,129.97397,142.766545,12.792575,NaN,True,2.0,0
245,128.999852,142.803168,13.803316,NaN,True,2.0,0
243,127.66611,142.798976,15.132866,NaN,True,2.0,0
248,131.560112,142.780992,11.22088,NaN,True,2.0,0
261,136.864493,147.656622,10.792129,NaN,True,2.0,0
250,132.923263,147.661357,14.738094,NaN,True,2.0,0
249,132.813797,147.665061,14.851264,NaN,True,2.0,0
251,133.077307,147.66611,14.588803,NaN,True,2.0,0
255,133.972589,147.669766,13.697177,NaN,True,2.0,0
260,136.135938,147.66924,11.533302,NaN,True,2.0,0
254,133.848979,147.678943,13.829964,NaN,True,2.0,0
256,134.65889,147.688074,13.029184,NaN,True,2.0,0
252,133.227584,147.68913,14.461546,NaN,True,2.0,0
257,135.609248,147.724158,12.11491,NaN,True,2.0,0
258,135.660201,147.798629,12.138428,NaN,True,2.0,0
259,135.680007,147.807174,12.127167,NaN,True,2.0,0
253,133.293247,147.824254,14.531007,NaN,True,2.0,0
265,140.597369,152.601997,12.004628,NaN,True,2.0,0
266,141.807379,152.622797,10.815418,NaN,True,2.0,0
262,137.309471,152.631324,15.321853,NaN,True,2.0,0
264,139.835801,152.852068,13.016267,NaN,True,2.0,0
263,137.676075,152.874844,15.198769,NaN,True,2.0,0
