id,start_fun,end_fun,time_fun,address,status,lambda,num_run
2,3.834406,17.871096,14.03669,NaN,True,0.5,1
1,2.635938,17.874806,15.238868,NaN,True,0.5,1
3,3.989181,17.884802,13.895621,NaN,True,0.5,1
0,1.350524,17.883802,16.533278,NaN,True,0.5,1
4,8.887704,22.885925,13.998221,NaN,True,0.5,1
5,14.940004,28.047271,13.107267,NaN,True,0.5,1
7,20.72713,32.883925,12.156795,NaN,True,0.5,1
6,17.146201,32.974842,15.828641,NaN,True,0.5,1
8,21.343762,37.99047,16.646708,NaN,True,0.5,1
9,24.26071,37.993248,13.732538,NaN,True,0.5,1
11,30.256489,42.91931,12.662821,NaN,True,0.5,1
10,30.116916,42.925288,12.808372,NaN,True,0.5,1
13,34.846871,47.860214,13.013343,NaN,True,0.5,1
12,33.748177,47.947657,14.19948,NaN,True,0.5,1
21,39.932149,52.92024,12.988091,NaN,True,0.5,1
20,39.864185,52.928474,13.064289,NaN,True,0.5,1
14,35.910938,52.927426,17.016488,NaN,True,0.5,1
19,39.685576,52.931759,13.246183,NaN,True,0.5,1
16,36.97204,52.937215,15.965175,NaN,True,0.5,1
18,39.42427,52.994835,13.570565,NaN,True,0.5,1
17,38.488492,52.998694,14.510202,NaN,True,0.5,1
22,40.945594,57.883105,16.937511,NaN,True,0.5,1
23,42.553516,57.888116,15.3346,NaN,True,0.5,1
24,43.55824,57.886127,14.327887,NaN,True,0.5,1
25,44.458071,57.979505,13.521434,NaN,True,0.5,1
26,50.306208,62.940554,12.634346,NaN,True,0.5,1
27,52.781521,68.543589,15.762068,NaN,True,0.5,1
28,53.341983,68.557829,15.215846,NaN,True,0.5,1
29,56.223869,72.85715,16.633281,NaN,True,0.5,1
30,58.578673,72.871547,14.292874,NaN,True,0.5,1
31,59.650823,72.869547,13.218724,NaN,True,0.5,1
32,63.931578,77.950609,14.019031,NaN,True,0.5,1
34,67.810462,82.932404,15.121942,NaN,True,0.5,1
33,66.67261,82.986316,16.313706,NaN,True,0.5,1
