id,start_fun,end_fun,time_fun,address,status,lambda,num_run
2,1.545108,16.421543,14.876435,NaN,True,2.0,1
5,3.008092,16.474994,13.466902,NaN,True,2.0,1
3,1.822632,16.462121,14.639489,NaN,True,2.0,1
1,1.485184,16.467972,14.982788,NaN,True,2.0,1
4,1.917912,16.507573,14.589661,NaN,True,2.0,1
0,1.235701,16.487536,15.251835,NaN,True,2.0,1
15,7.51091,21.217782,13.706872,NaN,True,2.0,1
12,6.031793,21.214804,15.183011,NaN,True,2.0,1
8,4.569531,21.231782,16.662251,NaN,True,2.0,1
17,9.032009,21.527938,12.495929,NaN,True,2.0,1
14,6.884973,21.581112,14.696139,NaN,True,2.0,1
11,5.740719,21.542112,15.801393,NaN,True,2.0,1
9,4.724132,21.566119,16.841987,NaN,True,2.0,1
16,7.537911,21.598112,14.060201,NaN,True,2.0,1
13,6.126809,21.64211,15.515301,NaN,True,2.0,1
10,5.647676,21.658112,16.010436,NaN,True,2.0,1
24,13.101149,26.219959,13.11881,NaN,True,2.0,1
25,13.249661,26.243961,12.9943,NaN,True,2.0,1
20,9.827812,26.25196,16.424148,NaN,True,2.0,1
26,13.505723,26.256964,12.751241,NaN,True,2.0,1
18,9.23117,26.259962,17.028792,NaN,True,2.0,1
23,12.951138,26.415916,13.464778,NaN,True,2.0,1
19,9.539133,26.398714,16.859581,NaN,True,2.0,1
22,12.183256,26.443509,14.260253,NaN,True,2.0,1
21,10.728292,26.480151,15.751859,NaN,True,2.0,1
33,15.746531,32.003482,16.256951,NaN,True,2.0,1
30,14.795628,32.018487,17.222859,NaN,True,2.0,1
31,15.23363,32.030481,16.796851,NaN,True,2.0,1
37,16.739867,32.04348,15.303613,NaN,True,2.0,1
36,16.590147,32.04948,15.459333,NaN,True,2.0,1
28,14.566251,32.038486,17.472235,NaN,True,2.0,1
38,17.471369,32.063481,14.592112,NaN,True,2.0,1
29,14.747852,32.06648,17.318628,NaN,True,2.0,1
34,16.084142,32.08148,15.997338,NaN,True,2.0,1
