id,start_fun,end_fun,time_fun,address,status,lambda,num_run
6,3.002362,12.794855,9.792493,NaN,True,2.0,2
0,0.95653,12.806481,11.849951,NaN,True,2.0,2
4,2.845157,12.799087,9.95393,NaN,True,2.0,2
5,2.909222,12.789526,9.880304,NaN,True,2.0,2
7,3.294053,12.819749,9.525696,NaN,True,2.0,2
9,4.49596,12.827691,8.331731,NaN,True,2.0,2
8,3.99302,12.852844,8.859824,NaN,True,2.0,2
2,1.811652,12.846801,11.035149,NaN,True,2.0,2
10,4.974812,12.868845,7.894033,NaN,True,2.0,2
1,1.493242,12.881051,11.387809,NaN,True,2.0,2
11,5.649962,17.878846,12.228884,NaN,True,2.0,2
13,7.158008,17.887937,10.729929,NaN,True,2.0,2
20,10.427525,17.894904,7.467379,NaN,True,2.0,2
18,8.850921,17.886877,9.035956,NaN,True,2.0,2
16,7.824875,17.899693,10.074818,NaN,True,2.0,2
17,7.969453,17.913536,9.944083,NaN,True,2.0,2
14,7.562374,17.907155,10.344781,NaN,True,2.0,2
15,7.590078,17.90556,10.315482,NaN,True,2.0,2
28,15.35845,22.637981,7.279531,NaN,True,2.0,2
26,14.820506,22.852362,8.031856,NaN,True,2.0,2
21,11.095875,22.858709,11.762834,NaN,True,2.0,2
25,14.343776,22.861921,8.518145,NaN,True,2.0,2
23,13.025824,22.864556,9.838732,NaN,True,2.0,2
22,12.844611,22.868245,10.023634,NaN,True,2.0,2
27,15.045464,22.872167,7.826703,NaN,True,2.0,2
24,14.079361,22.881833,8.802472,NaN,True,2.0,2
42,20.333022,27.600093,7.267071,NaN,True,2.0,2
40,20.088957,27.60309,7.514133,NaN,True,2.0,2
34,17.876195,27.816811,9.940616,NaN,True,2.0,2
35,17.914596,27.809969,9.895373,NaN,True,2.0,2
29,15.572592,27.824245,12.251653,NaN,True,2.0,2
41,20.249603,27.832206,7.582603,NaN,True,2.0,2
33,16.863494,27.842566,10.979072,NaN,True,2.0,2
31,16.377592,27.838599,11.461007,NaN,True,2.0,2
39,19.057183,27.845448,8.788265,NaN,True,2.0,2
37,18.460804,27.851972,9.391168,NaN,True,2.0,2
38,18.65335,27.843598,9.190248,NaN,True,2.0,2
32,16.841546,27.850894,11.009348,NaN,True,2.0,2
36,18.234425,27.861575,9.62715,NaN,True,2.0,2
44,20.937285,32.647659,11.710374,NaN,True,2.0,2
45,21.942904,32.667698,10.724794,NaN,True,2.0,2
43,20.880669,32.774938,11.894269,NaN,True,2.0,2
47,22.830562,32.796434,9.965872,NaN,True,2.0,2
49,23.042478,32.782146,9.739668,NaN,True,2.0,2
50,23.183796,32.805423,9.621627,NaN,True,2.0,2
52,24.731654,32.791157,8.059503,NaN,True,2.0,2
51,24.11411,32.811717,8.697607,NaN,True,2.0,2
46,22.630538,32.804381,10.173843,NaN,True,2.0,2
