id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,0.789412,1.206758,0.417346,NaN,True,2.0,4
1,1.498946,2.09424,0.595294,NaN,True,2.0,4
2,1.657109,2.40473,0.747621,NaN,True,2.0,4
3,1.782046,2.419773,0.637727,NaN,True,2.0,4
4,1.836237,2.577904,0.741667,NaN,True,2.0,4
5,1.939479,2.646232,0.706753,NaN,True,2.0,4
6,2.181906,3.030007,0.848101,NaN,True,2.0,4
8,2.600996,3.517059,0.916063,NaN,True,2.0,4
7,2.53767,3.52193,0.98426,NaN,True,2.0,4
9,3.274941,3.76027,0.485329,NaN,True,2.0,4
10,3.597284,4.088795,0.491511,NaN,True,2.0,4
11,3.956063,4.490551,0.534488,NaN,True,2.0,4
13,4.298972,4.975776,0.676804,NaN,True,2.0,4
12,4.253384,4.990099,0.736715,NaN,True,2.0,4
14,5.125035,5.723672,0.598637,NaN,True,2.0,4
15,5.393044,5.942211,0.549167,NaN,True,2.0,4
16,5.658683,6.253801,0.595118,NaN,True,2.0,4
18,6.911326,7.473583,0.562257,NaN,True,2.0,4
17,6.816217,7.47815,0.661933,NaN,True,2.0,4
19,7.116476,7.663784,0.547308,NaN,True,2.0,4
20,7.735585,8.302611,0.567026,NaN,True,2.0,4
21,7.768217,8.321882,0.553665,NaN,True,2.0,4
22,8.205797,8.86763,0.661833,NaN,True,2.0,4
23,8.315886,8.958085,0.642199,NaN,True,2.0,4
24,8.706021,9.258602,0.552581,NaN,True,2.0,4
25,9.964409,10.38415,0.419741,NaN,True,2.0,4
26,10.026293,10.800239,0.773946,NaN,True,2.0,4
28,11.840935,12.473864,0.632929,NaN,True,2.0,4
27,11.810455,12.482558,0.672103,NaN,True,2.0,4
29,11.996218,12.561733,0.565515,NaN,True,2.0,4
30,12.049278,12.824172,0.774894,NaN,True,2.0,4
31,12.648395,13.176057,0.527662,NaN,True,2.0,4
32,13.70435,14.379854,0.675504,NaN,True,2.0,4
33,13.845747,14.38962,0.543873,NaN,True,2.0,4
34,14.46616,15.238446,0.772286,NaN,True,2.0,4
35,14.607258,15.269611,0.662353,NaN,True,2.0,4
36,14.691653,15.533392,0.841739,NaN,True,2.0,4
37,14.779659,15.55979,0.780131,NaN,True,2.0,4
38,15.274879,16.107561,0.832682,NaN,True,2.0,4
39,16.22721,16.703647,0.476437,NaN,True,2.0,4
40,16.905059,17.645467,0.740408,NaN,True,2.0,4
41,17.702969,18.238989,0.53602,NaN,True,2.0,4
42,17.950603,18.470864,0.520261,NaN,True,2.0,4
43,18.03161,18.554516,0.522906,NaN,True,2.0,4
44,19.138599,19.679487,0.540888,NaN,True,2.0,4
45,19.3882,20.07057,0.68237,NaN,True,2.0,4
46,19.58887,20.275857,0.686987,NaN,True,2.0,4
47,20.399671,20.887183,0.487512,NaN,True,2.0,4
48,21.114891,21.789489,0.674598,NaN,True,2.0,4
49,21.426658,22.100012,0.673354,NaN,True,2.0,4
50,21.56683,22.177769,0.610939,NaN,True,2.0,4
51,21.582692,22.184378,0.601686,NaN,True,2.0,4
52,22.892432,23.288765,0.396333,NaN,True,2.0,4
53,22.973911,23.615792,0.641881,NaN,True,2.0,4
54,24.71567,25.114815,0.399145,NaN,True,2.0,4
55,24.84116,25.393738,0.552578,NaN,True,2.0,4
56,25.273785,26.039218,0.765433,NaN,True,2.0,4
57,25.591714,26.27129,0.679576,NaN,True,2.0,4
58,25.841554,26.379925,0.538371,NaN,True,2.0,4
59,27.129758,27.547586,0.417828,NaN,True,2.0,4
