id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,0.703091,2.65962,1.956529,NaN,True,2.0,0
1,2.252449,3.660953,1.408504,NaN,True,2.0,0
2,2.489709,3.691813,1.202104,NaN,True,2.0,0
4,2.925251,4.649437,1.724186,NaN,True,2.0,0
6,3.286023,4.649437,1.363414,NaN,True,2.0,0
3,2.768997,4.664755,1.895758,NaN,True,2.0,0
5,2.988227,4.664755,1.676528,NaN,True,2.0,0
9,4.193309,5.6538,1.460491,NaN,True,2.0,0
10,4.524201,5.6538,1.129599,NaN,True,2.0,0
7,3.91149,5.670226,1.758736,NaN,True,2.0,0
8,4.067675,5.701289,1.633614,NaN,True,2.0,0
11,4.711895,6.641331,1.929436,NaN,True,2.0,0
12,5.528246,7.642865,2.114619,NaN,True,2.0,0
13,5.825885,7.76771,1.941825,NaN,True,2.0,0
17,7.283185,8.69462,1.411435,NaN,True,2.0,0
14,6.766425,8.702651,1.936226,NaN,True,2.0,0
16,7.001935,8.724032,1.722097,NaN,True,2.0,0
18,7.424348,8.73967,1.315322,NaN,True,2.0,0
15,6.81287,8.755295,1.942425,NaN,True,2.0,0
20,8.551898,9.693989,1.142091,NaN,True,2.0,0
19,7.830635,9.709818,1.879183,NaN,True,2.0,0
21,8.582796,10.665739,2.082943,NaN,True,2.0,0
22,8.708172,10.743827,2.035655,NaN,True,2.0,0
23,8.943311,10.759485,1.816174,NaN,True,2.0,0
24,10.63474,12.747544,2.112804,NaN,True,2.0,0
25,13.372965,14.765213,1.392248,NaN,True,2.0,0
26,13.607361,15.751473,2.144112,NaN,True,2.0,0
27,13.825709,15.798348,1.972639,NaN,True,2.0,0
28,14.985559,16.706184,1.720625,NaN,True,2.0,0
30,15.517129,16.721827,1.204698,NaN,True,2.0,0
29,15.220096,16.737823,1.517727,NaN,True,2.0,0
31,17.067805,18.728277,1.660472,NaN,True,2.0,0
33,17.536548,18.790779,1.254231,NaN,True,2.0,0
32,17.161111,18.822026,1.660915,NaN,True,2.0,0
35,18.509227,19.795538,1.286311,NaN,True,2.0,0
36,18.571645,19.795538,1.223893,NaN,True,2.0,0
34,18.00762,19.811195,1.803575,NaN,True,2.0,0
37,18.837768,20.78107,1.943302,NaN,True,2.0,0
38,19.873689,21.830069,1.95638,NaN,True,2.0,0
39,20.327665,21.830069,1.502404,NaN,True,2.0,0
41,20.985552,22.770189,1.784637,NaN,True,2.0,0
43,21.53317,22.786203,1.253033,NaN,True,2.0,0
42,21.094739,22.81706,1.722321,NaN,True,2.0,0
40,20.78107,22.81706,2.03599,NaN,True,2.0,0
44,22.096867,23.897627,1.80076,NaN,True,2.0,0
46,23.083025,24.813695,1.73067,NaN,True,2.0,0
47,23.239242,24.813695,1.574453,NaN,True,2.0,0
45,22.988933,24.824085,1.835152,NaN,True,2.0,0
49,25.531782,26.881549,1.349767,NaN,True,2.0,0
48,24.919843,26.896823,1.97698,NaN,True,2.0,0
51,25.719269,26.902489,1.18322,NaN,True,2.0,0
52,26.471953,27.882549,1.410596,NaN,True,2.0,0
50,25.688011,27.882549,2.194538,NaN,True,2.0,0
53,27.835669,29.884294,2.048625,NaN,True,2.0,0
54,28.742196,30.870476,2.12828,NaN,True,2.0,0
56,29.508289,30.91736,1.409071,NaN,True,2.0,0
57,29.711565,30.91736,1.205795,NaN,True,2.0,0
55,29.289397,30.979817,1.69042,NaN,True,2.0,0
59,30.29161,31.87099,1.57938,NaN,True,2.0,0
60,30.6046,31.87099,1.26639,NaN,True,2.0,0
58,29.915664,31.886604,1.97094,NaN,True,2.0,0
61,31.37098,32.96477,1.59379,NaN,True,2.0,0
62,33.717526,34.90785,1.190324,NaN,True,2.0,0
64,34.265163,35.894526,1.629363,NaN,True,2.0,0
66,34.452745,35.9261,1.473355,NaN,True,2.0,0
65,34.311675,35.988619,1.676944,NaN,True,2.0,0
63,34.060884,35.988619,1.927735,NaN,True,2.0,0
67,36.473284,37.943658,1.470374,NaN,True,2.0,0
68,37.082926,39.002174,1.919248,NaN,True,2.0,0
69,37.25519,39.010185,1.754995,NaN,True,2.0,0
71,38.09992,39.951391,1.851471,NaN,True,2.0,0
72,38.63372,39.967074,1.333354,NaN,True,2.0,0
70,37.943658,39.992917,2.049259,NaN,True,2.0,0
73,39.37032,41.014926,1.644606,NaN,True,2.0,0
75,40.530515,41.985802,1.455287,NaN,True,2.0,0
74,40.40579,42.063963,1.658173,NaN,True,2.0,0
76,41.814003,43.064395,1.250392,NaN,True,2.0,0
77,42.079923,44.031531,1.951608,NaN,True,2.0,0
78,43.268258,45.084111,1.815853,NaN,True,2.0,0
79,43.706522,45.084111,1.377589,NaN,True,2.0,0
82,44.301221,46.022434,1.721213,NaN,True,2.0,0
81,44.129335,46.038427,1.909092,NaN,True,2.0,0
80,44.031531,46.085401,2.05387,NaN,True,2.0,0
83,44.473588,46.085401,1.611813,NaN,True,2.0,0
