id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,97.391069,98.981327,1.590258,NaN,True,2.0,4
1,98.39617,99.958018,1.561848,NaN,True,2.0,4
2,99.102767,100.949067,1.8463,NaN,True,2.0,4
3,99.850992,102.029411,2.178419,NaN,True,2.0,4
4,101.149987,103.029986,1.879999,NaN,True,2.0,4
5,102.466198,104.01218,1.545982,NaN,True,2.0,4
6,103.195736,104.974541,1.778805,NaN,True,2.0,4
10,104.410558,105.980756,1.570198,NaN,True,2.0,4
9,104.334248,106.027394,1.693146,NaN,True,2.0,4
8,104.208708,106.093535,1.884827,NaN,True,2.0,4
7,103.975383,106.08739,2.112007,NaN,True,2.0,4
12,105.519267,107.017972,1.498705,NaN,True,2.0,4
11,105.270772,107.019973,1.749201,NaN,True,2.0,4
14,106.537049,108.081237,1.544188,NaN,True,2.0,4
13,106.051392,108.080238,2.028846,NaN,True,2.0,4
15,107.721297,108.999639,1.278342,NaN,True,2.0,4
16,108.018391,110.07258,2.054189,NaN,True,2.0,4
17,108.675796,110.093264,1.417468,NaN,True,2.0,4
19,109.814279,111.078227,1.263948,NaN,True,2.0,4
18,109.485902,111.108378,1.622476,NaN,True,2.0,4
21,111.944556,113.144511,1.199955,NaN,True,2.0,4
20,111.180652,113.145529,1.964877,NaN,True,2.0,4
22,112.069456,114.141594,2.072138,NaN,True,2.0,4
24,113.784941,115.114576,1.329635,NaN,True,2.0,4
23,113.379399,115.135542,1.756143,NaN,True,2.0,4
25,113.803964,115.14054,1.336576,NaN,True,2.0,4
28,114.740649,116.131746,1.391097,NaN,True,2.0,4
26,113.970847,116.173767,2.20292,NaN,True,2.0,4
27,114.577959,116.175743,1.597784,NaN,True,2.0,4
29,114.972449,117.074423,2.101974,NaN,True,2.0,4
33,115.853444,117.181566,1.328122,NaN,True,2.0,4
31,115.636041,117.191572,1.555531,NaN,True,2.0,4
30,114.985427,117.195586,2.210159,NaN,True,2.0,4
34,115.902091,117.206569,1.304478,NaN,True,2.0,4
32,115.746595,117.207571,1.460976,NaN,True,2.0,4
38,116.727847,118.085282,1.357435,NaN,True,2.0,4
35,116.201748,118.1025,1.900752,NaN,True,2.0,4
36,116.307789,118.215769,1.90798,NaN,True,2.0,4
39,117.399626,119.20737,1.807744,NaN,True,2.0,4
40,117.768807,119.217368,1.448561,NaN,True,2.0,4
43,118.689501,120.198471,1.50897,NaN,True,2.0,4
41,118.249087,120.202164,1.953077,NaN,True,2.0,4
44,118.761757,120.205134,1.443377,NaN,True,2.0,4
45,118.888387,120.208142,1.319755,NaN,True,2.0,4
42,118.499358,120.212136,1.712778,NaN,True,2.0,4
46,119.43735,121.136418,1.699068,NaN,True,2.0,4
47,119.961323,121.187021,1.225698,NaN,True,2.0,4
48,120.401297,122.190378,1.789081,NaN,True,2.0,4
49,120.666833,122.192378,1.525545,NaN,True,2.0,4
50,121.508583,123.168174,1.659591,NaN,True,2.0,4
51,122.275364,124.268889,1.993525,NaN,True,2.0,4
