id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,1.129995,3.146459,2.016464,NaN,True,2.0,0
2,1.811582,3.148461,1.336879,NaN,True,2.0,0
1,1.749429,3.158499,1.40907,NaN,True,2.0,0
3,2.327627,4.126601,1.798974,NaN,True,2.0,0
4,2.527826,4.129599,1.601773,NaN,True,2.0,0
5,4.134594,6.083719,1.949125,NaN,True,2.0,0
7,4.397142,6.090716,1.693574,NaN,True,2.0,0
6,4.351162,6.088716,1.737554,NaN,True,2.0,0
9,5.774327,7.136171,1.361844,NaN,True,2.0,0
8,5.727957,7.141171,1.413214,NaN,True,2.0,0
10,6.149392,8.205204,2.055812,NaN,True,2.0,0
12,8.403737,10.209724,1.805987,NaN,True,2.0,0
11,7.993618,10.222741,2.229123,NaN,True,2.0,0
13,8.931303,10.216719,1.285416,NaN,True,2.0,0
17,9.713944,11.137551,1.423607,NaN,True,2.0,0
14,9.145069,11.151436,2.006367,NaN,True,2.0,0
15,9.201526,11.165436,1.96391,NaN,True,2.0,0
16,9.396473,11.210435,1.813962,NaN,True,2.0,0
20,10.926393,12.226375,1.299982,NaN,True,2.0,0
18,10.278717,12.230339,1.951622,NaN,True,2.0,0
19,10.821488,12.23334,1.411852,NaN,True,2.0,0
21,11.112553,13.150113,2.03756,NaN,True,2.0,0
22,11.603791,13.189093,1.585302,NaN,True,2.0,0
23,11.909102,13.193111,1.284009,NaN,True,2.0,0
24,12.143343,14.214764,2.071421,NaN,True,2.0,0
26,12.700679,14.229773,1.529094,NaN,True,2.0,0
25,12.303185,14.237741,1.934556,NaN,True,2.0,0
31,13.997331,15.19874,1.201409,NaN,True,2.0,0
28,13.465029,15.212738,1.747709,NaN,True,2.0,0
29,13.526475,15.226737,1.700262,NaN,True,2.0,0
30,13.590453,15.277756,1.687303,NaN,True,2.0,0
36,14.907728,16.252312,1.344584,NaN,True,2.0,0
33,14.375689,16.276316,1.900627,NaN,True,2.0,0
35,14.831149,16.292318,1.461169,NaN,True,2.0,0
32,14.279752,16.288312,2.00856,NaN,True,2.0,0
37,15.296403,17.26824,1.971837,NaN,True,2.0,0
38,15.469294,17.270217,1.800923,NaN,True,2.0,0
39,16.109012,18.303309,2.194297,NaN,True,2.0,0
40,16.294313,18.337304,2.042991,NaN,True,2.0,0
41,16.644543,18.342303,1.69776,NaN,True,2.0,0
43,17.6059,19.244688,1.638788,NaN,True,2.0,0
42,17.102627,19.355218,2.252591,NaN,True,2.0,0
44,19.324246,21.314034,1.989788,NaN,True,2.0,0
45,19.612411,21.322028,1.709617,NaN,True,2.0,0
46,20.037866,21.328742,1.290876,NaN,True,2.0,0
48,20.645711,22.328868,1.683157,NaN,True,2.0,0
47,20.594735,22.330867,1.736132,NaN,True,2.0,0
49,21.902979,23.379356,1.476377,NaN,True,2.0,0
52,22.818228,24.342281,1.524053,NaN,True,2.0,0
51,22.631611,24.35628,1.724669,NaN,True,2.0,0
50,22.134405,24.35428,2.219875,NaN,True,2.0,0
54,23.287028,25.274916,1.987888,NaN,True,2.0,0
57,23.992587,25.289916,1.297329,NaN,True,2.0,0
56,23.800928,25.321056,1.520128,NaN,True,2.0,0
55,23.615244,25.32206,1.706816,NaN,True,2.0,0
59,26.156042,27.326086,1.170044,NaN,True,2.0,0
58,25.249917,27.332086,2.082169,NaN,True,2.0,0
60,26.314502,28.34584,2.031338,NaN,True,2.0,0
61,26.747584,28.379881,1.632297,NaN,True,2.0,0
62,27.049492,28.381838,1.332346,NaN,True,2.0,0
65,28.200251,29.329975,1.129724,NaN,True,2.0,0
64,27.790828,29.334977,1.544149,NaN,True,2.0,0
66,28.401836,30.394396,1.99256,NaN,True,2.0,0
67,28.807547,30.445008,1.637461,NaN,True,2.0,0
68,29.86082,31.45732,1.5965,NaN,True,2.0,0
70,31.064037,32.415668,1.351631,NaN,True,2.0,0
69,30.567987,32.422694,1.854707,NaN,True,2.0,0
71,31.738578,33.392707,1.654129,NaN,True,2.0,0
72,32.694495,34.457603,1.763108,NaN,True,2.0,0
73,34.230677,35.449019,1.218342,NaN,True,2.0,0
74,34.614,36.487983,1.873983,NaN,True,2.0,0
77,35.621852,37.430403,1.808551,NaN,True,2.0,0
76,35.590013,37.44878,1.858767,NaN,True,2.0,0
78,35.777995,37.450747,1.672752,NaN,True,2.0,0
75,35.537048,37.493115,1.956067,NaN,True,2.0,0
79,36.883977,38.536754,1.652777,NaN,True,2.0,0
80,37.704758,39.456864,1.752106,NaN,True,2.0,0
81,38.902184,40.515932,1.613748,NaN,True,2.0,0
82,39.344372,40.566425,1.222053,NaN,True,2.0,0
84,40.186295,41.462592,1.276297,NaN,True,2.0,0
83,40.159338,41.55381,1.394472,NaN,True,2.0,0
86,41.302571,42.479232,1.176661,NaN,True,2.0,0
85,40.337891,42.501185,2.163294,NaN,True,2.0,0
87,42.074297,43.547708,1.473411,NaN,True,2.0,0
88,42.487225,44.543881,2.056656,NaN,True,2.0,0
90,43.108681,44.546879,1.438198,NaN,True,2.0,0
89,42.763539,44.54988,1.786341,NaN,True,2.0,0
94,44.299541,45.517887,1.218346,NaN,True,2.0,0
93,44.125231,45.548868,1.423637,NaN,True,2.0,0
92,43.535681,45.568865,2.033184,NaN,True,2.0,0
91,43.376778,45.612831,2.236053,NaN,True,2.0,0
96,44.659114,46.589957,1.930843,NaN,True,2.0,0
98,44.988297,46.605981,1.617684,NaN,True,2.0,0
95,44.644111,46.607944,1.963833,NaN,True,2.0,0
97,44.800117,46.61294,1.812823,NaN,True,2.0,0
99,46.014433,47.550518,1.536085,NaN,True,2.0,0
103,47.011194,48.637224,1.62603,NaN,True,2.0,0
100,46.431864,48.646222,2.214358,NaN,True,2.0,0
104,47.184704,48.649102,1.464398,NaN,True,2.0,0
102,46.902984,48.650102,1.747118,NaN,True,2.0,0
101,46.760593,48.652102,1.891509,NaN,True,2.0,0
105,48.389927,49.573406,1.183479,NaN,True,2.0,0
107,49.254593,50.586396,1.331803,NaN,True,2.0,0
106,48.729504,50.604399,1.874895,NaN,True,2.0,0
109,50.39138,51.583928,1.192548,NaN,True,2.0,0
108,50.127032,51.585926,1.458894,NaN,True,2.0,0
112,51.46233,52.61084,1.14851,NaN,True,2.0,0
110,51.067116,52.627836,1.56072,NaN,True,2.0,0
111,51.202748,52.630874,1.428126,NaN,True,2.0,0
113,51.669358,53.680168,2.01081,NaN,True,2.0,0
114,52.694624,54.608382,1.913758,NaN,True,2.0,0
116,52.851507,54.610383,1.758876,NaN,True,2.0,0
115,52.821211,54.612386,1.791175,NaN,True,2.0,0
117,54.820173,56.721876,1.901703,NaN,True,2.0,0
118,55.695485,57.736364,2.040879,NaN,True,2.0,0
120,56.239557,57.739364,1.499807,NaN,True,2.0,0
119,55.814996,57.746366,1.93137,NaN,True,2.0,0
121,57.062269,58.723683,1.661414,NaN,True,2.0,0
122,57.122287,58.737056,1.614769,NaN,True,2.0,0
125,59.369625,60.707371,1.337746,NaN,True,2.0,0
123,58.731056,60.710366,1.97931,NaN,True,2.0,0
124,59.025094,60.738693,1.713599,NaN,True,2.0,0
127,60.037141,61.673282,1.636141,NaN,True,2.0,0
126,59.966797,61.71128,1.744483,NaN,True,2.0,0
129,61.240556,62.725944,1.485388,NaN,True,2.0,0
128,60.602552,62.724909,2.122357,NaN,True,2.0,0
132,63.348617,64.777684,1.429067,NaN,True,2.0,0
130,63.021752,64.78368,1.761928,NaN,True,2.0,0
133,63.404785,64.779682,1.374897,NaN,True,2.0,0
