id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,1.3661,4.133277,2.767177,NaN,True,0.5,4
2,2.391425,5.137392,2.745967,NaN,True,0.5,4
1,2.201616,5.146379,2.944763,NaN,True,0.5,4
3,2.626955,5.150383,2.523428,NaN,True,0.5,4
4,3.116742,6.192075,3.075333,NaN,True,0.5,4
5,4.423981,7.162398,2.738417,NaN,True,0.5,4
6,5.932992,8.14917,2.216178,NaN,True,0.5,4
7,8.182592,11.291017,3.108425,NaN,True,0.5,4
8,9.383181,12.186444,2.803263,NaN,True,0.5,4
9,20.167876,23.347464,3.179588,NaN,True,0.5,4
10,22.125772,24.329515,2.203743,NaN,True,0.5,4
11,22.183663,24.323513,2.13985,NaN,True,0.5,4
12,22.40289,25.382298,2.979408,NaN,True,0.5,4
13,23.19611,25.383296,2.187186,NaN,True,0.5,4
14,25.645672,28.394266,2.748594,NaN,True,0.5,4
15,27.964789,30.362917,2.398128,NaN,True,0.5,4
16,27.980745,30.364916,2.384171,NaN,True,0.5,4
17,31.547841,34.442281,2.89444,NaN,True,0.5,4
18,32.969893,35.457595,2.487702,NaN,True,0.5,4
20,35.929704,38.410183,2.480479,NaN,True,0.5,4
19,35.809696,38.421187,2.611491,NaN,True,0.5,4
21,36.416119,39.480381,3.064262,NaN,True,0.5,4
22,38.403191,41.509709,3.106518,NaN,True,0.5,4
24,43.177468,45.545874,2.368406,NaN,True,0.5,4
23,43.038281,45.546876,2.508595,NaN,True,0.5,4
25,47.891604,50.597784,2.70618,NaN,True,0.5,4
26,49.859279,52.534677,2.675398,NaN,True,0.5,4
27,52.590942,55.551468,2.960526,NaN,True,0.5,4
28,58.396253,60.631932,2.235679,NaN,True,0.5,4
30,62.268364,64.66592,2.397556,NaN,True,0.5,4
29,61.75694,64.676919,2.919979,NaN,True,0.5,4
31,63.280246,65.664295,2.384049,NaN,True,0.5,4
32,67.593426,70.734603,3.141177,NaN,True,0.5,4
33,67.939729,70.737599,2.79787,NaN,True,0.5,4
35,71.176968,73.761669,2.584701,NaN,True,0.5,4
34,70.742599,73.768695,3.026096,NaN,True,0.5,4
36,74.392802,76.928646,2.535844,NaN,True,0.5,4
37,75.002088,77.80422,2.802132,NaN,True,0.5,4
38,76.194235,78.866635,2.6724,NaN,True,0.5,4
39,76.748941,79.906661,3.15772,NaN,True,0.5,4
40,80.659973,82.858622,2.198649,NaN,True,0.5,4
41,82.932613,85.919662,2.987049,NaN,True,0.5,4
42,85.972988,89.008134,3.035146,NaN,True,0.5,4
43,86.848192,90.014172,3.16598,NaN,True,0.5,4
44,89.51338,92.019152,2.505772,NaN,True,0.5,4
45,94.57601,97.051262,2.475252,NaN,True,0.5,4
46,97.144765,100.146946,3.002181,NaN,True,0.5,4
48,98.434279,101.063613,2.629334,NaN,True,0.5,4
47,98.072799,101.079617,3.006818,NaN,True,0.5,4
49,100.168525,103.106061,2.937536,NaN,True,0.5,4
50,102.245093,105.118619,2.873526,NaN,True,0.5,4
51,102.742695,105.12862,2.385925,NaN,True,0.5,4
52,102.865758,105.130585,2.264827,NaN,True,0.5,4
53,106.613442,109.126933,2.513491,NaN,True,0.5,4
54,108.378376,111.201989,2.823613,NaN,True,0.5,4
55,112.032629,114.218616,2.185987,NaN,True,0.5,4
56,113.153814,116.255354,3.10154,NaN,True,0.5,4
57,114.091508,116.28278,2.191272,NaN,True,0.5,4
58,116.436139,119.204609,2.76847,NaN,True,0.5,4
60,117.026981,119.266004,2.239023,NaN,True,0.5,4
59,116.915841,119.302687,2.386846,NaN,True,0.5,4
61,117.996624,120.237049,2.240425,NaN,True,0.5,4
62,124.264939,127.291871,3.026932,NaN,True,0.5,4
64,127.049083,129.322388,2.273305,NaN,True,0.5,4
63,126.77015,129.394374,2.624224,NaN,True,0.5,4
65,127.517938,130.424923,2.906985,NaN,True,0.5,4
66,127.596953,130.418899,2.821946,NaN,True,0.5,4
68,129.117651,131.315209,2.197558,NaN,True,0.5,4
67,128.403112,131.363804,2.960692,NaN,True,0.5,4
69,129.488492,132.384969,2.896477,NaN,True,0.5,4
70,131.67309,134.35739,2.6843,NaN,True,0.5,4
71,133.421842,136.454125,3.032283,NaN,True,0.5,4
72,136.738811,139.418948,2.680137,NaN,True,0.5,4
74,137.222808,139.433983,2.211175,NaN,True,0.5,4
75,139.159148,141.396449,2.237301,NaN,True,0.5,4
76,140.546702,143.477853,2.931151,NaN,True,0.5,4
77,141.905386,144.412162,2.506776,NaN,True,0.5,4
78,144.557974,147.522365,2.964391,NaN,True,0.5,4
79,146.085488,148.545272,2.459784,NaN,True,0.5,4
80,153.567068,156.557899,2.990831,NaN,True,0.5,4
81,155.514738,158.603736,3.088998,NaN,True,0.5,4
82,156.811317,159.60982,2.798503,NaN,True,0.5,4
83,159.575874,162.60284,3.026966,NaN,True,0.5,4
84,161.926156,164.618498,2.692342,NaN,True,0.5,4
85,162.131603,164.625474,2.493871,NaN,True,0.5,4
87,162.703355,165.706262,3.002907,NaN,True,0.5,4
86,162.62413,165.708272,3.084142,NaN,True,0.5,4
88,165.29337,167.709571,2.416201,NaN,True,0.5,4
91,166.229044,168.727486,2.498442,NaN,True,0.5,4
90,165.995755,168.73548,2.739725,NaN,True,0.5,4
89,165.623073,168.73751,3.114437,NaN,True,0.5,4
92,170.591695,173.682823,3.091128,NaN,True,0.5,4
93,171.186022,173.774409,2.588387,NaN,True,0.5,4
95,173.163032,175.832159,2.669127,NaN,True,0.5,4
94,173.10233,175.836117,2.733787,NaN,True,0.5,4
96,174.346258,176.706693,2.360435,NaN,True,0.5,4
