id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,3.490388,14.36605,10.875662,NaN,True,0.5,10
1,4.90921,19.461883,14.552673,NaN,True,0.5,10
2,6.35656,19.559129,13.202569,NaN,True,0.5,10
3,9.677045,24.35672,14.679675,NaN,True,0.5,10
4,11.194331,24.374512,13.180181,NaN,True,0.5,10
5,11.779303,24.386652,12.607349,NaN,True,0.5,10
6,14.586318,29.34662,14.760302,NaN,True,0.5,10
7,17.878311,29.447028,11.568717,NaN,True,0.5,10
9,21.195945,34.435831,13.239886,NaN,True,0.5,10
10,21.732378,34.471733,12.739355,NaN,True,0.5,10
8,19.514324,34.492333,14.978009,NaN,True,0.5,10
13,27.7202,39.451256,11.731056,NaN,True,0.5,10
11,25.154882,39.773491,14.618609,NaN,True,0.5,10
12,26.186389,39.792061,13.605672,NaN,True,0.5,10
15,31.870485,44.424834,12.554349,NaN,True,0.5,10
17,33.742157,44.482847,10.74069,NaN,True,0.5,10
14,29.385775,44.547099,15.161324,NaN,True,0.5,10
16,32.761253,44.527002,11.765749,NaN,True,0.5,10
19,36.862404,49.435647,12.573243,NaN,True,0.5,10
18,34.241041,49.578866,15.337825,NaN,True,0.5,10
21,41.194126,54.355881,13.161755,NaN,True,0.5,10
24,43.437899,54.35219,10.914291,NaN,True,0.5,10
22,42.406603,54.365263,11.95866,NaN,True,0.5,10
20,39.205102,54.432805,15.227703,NaN,True,0.5,10
23,43.397988,54.487668,11.08968,NaN,True,0.5,10
27,48.414225,59.564901,11.150676,NaN,True,0.5,10
26,47.772076,59.608965,11.836889,NaN,True,0.5,10
25,45.714684,59.605376,13.890692,NaN,True,0.5,10
28,51.614293,64.512518,12.898225,NaN,True,0.5,10
30,55.526704,69.551251,14.024547,NaN,True,0.5,10
29,54.011396,69.660533,15.649137,NaN,True,0.5,10
31,57.690273,69.640462,11.950189,NaN,True,0.5,10
32,58.482442,69.736544,11.254102,NaN,True,0.5,10
33,62.186894,74.375771,12.188877,NaN,True,0.5,10
34,63.843523,74.400535,10.557012,NaN,True,0.5,10
35,64.844275,79.420927,14.576652,NaN,True,0.5,10
36,67.218657,79.50382,12.285163,NaN,True,0.5,10
37,73.392943,84.361177,10.968234,NaN,True,0.5,10
38,77.016202,89.393863,12.377661,NaN,True,0.5,10
40,78.947137,89.421118,10.473981,NaN,True,0.5,10
41,80.737326,94.454125,13.716799,NaN,True,0.5,10
43,82.560285,94.468949,11.908664,NaN,True,0.5,10
42,81.300075,94.490424,13.190349,NaN,True,0.5,10
44,85.4574,99.460674,14.003274,NaN,True,0.5,10
45,87.209248,99.505055,12.295807,NaN,True,0.5,10
47,92.01601,104.453652,12.437642,NaN,True,0.5,10
50,93.617077,104.461617,10.84454,NaN,True,0.5,10
49,93.449324,104.664067,11.214743,NaN,True,0.5,10
46,89.603784,104.697416,15.093632,NaN,True,0.5,10
48,92.703093,104.757711,12.054618,NaN,True,0.5,10
54,97.759704,109.384091,11.624387,NaN,True,0.5,10
51,94.71079,109.454803,14.744013,NaN,True,0.5,10
53,97.16349,109.473489,12.309999,NaN,True,0.5,10
52,96.896696,109.507945,12.611249,NaN,True,0.5,10
55,100.415712,114.326123,13.910411,NaN,True,0.5,10
56,101.592384,114.33845,12.746066,NaN,True,0.5,10
57,105.400098,119.346292,13.946194,NaN,True,0.5,10
59,123.070216,134.495792,11.425576,NaN,True,0.5,10
60,123.308192,134.53015,11.221958,NaN,True,0.5,10
58,121.40067,134.621877,13.221207,NaN,True,0.5,10
61,125.718364,139.326205,13.607841,NaN,True,0.5,10
62,130.296768,144.355146,14.058378,NaN,True,0.5,10
63,130.734723,144.3372,13.602477,NaN,True,0.5,10
64,132.691468,144.374332,11.682864,NaN,True,0.5,10
65,141.534126,154.371274,12.837148,NaN,True,0.5,10
68,149.674134,164.41988,14.745746,NaN,True,0.5,10
66,149.127216,164.43939,15.312174,NaN,True,0.5,10
67,149.566711,164.532787,14.966076,NaN,True,0.5,10
73,157.529382,169.400053,11.870671,NaN,True,0.5,10
72,157.381985,169.412324,12.030339,NaN,True,0.5,10
70,155.327578,169.614124,14.286546,NaN,True,0.5,10
71,156.655558,169.698458,13.0429,NaN,True,0.5,10
69,154.598455,169.648598,15.050143,NaN,True,0.5,10
74,160.594055,174.606216,14.012161,NaN,True,0.5,10
75,164.582741,179.555185,14.972444,NaN,True,0.5,10
76,165.604552,179.562914,13.958362,NaN,True,0.5,10
77,166.168676,179.687476,13.5188,NaN,True,0.5,10
78,168.602184,179.722196,11.120012,NaN,True,0.5,10
79,169.591222,184.38311,14.791888,NaN,True,0.5,10
81,172.347648,184.392347,12.044699,NaN,True,0.5,10
83,172.748615,184.398639,11.650024,NaN,True,0.5,10
80,171.919012,184.419041,12.500029,NaN,True,0.5,10
82,172.62315,184.44138,11.81823,NaN,True,0.5,10
87,176.241584,189.629439,13.387855,NaN,True,0.5,10
86,175.306805,189.635207,14.328402,NaN,True,0.5,10
85,175.021737,189.662676,14.640939,NaN,True,0.5,10
84,174.889461,189.718403,14.828942,NaN,True,0.5,10
88,178.292426,189.745201,11.452775,NaN,True,0.5,10
89,182.293111,194.575121,12.28201,NaN,True,0.5,10
90,186.67625,199.322585,12.646335,NaN,True,0.5,10
91,186.864369,199.351008,12.486639,NaN,True,0.5,10
92,188.661061,199.380268,10.719207,NaN,True,0.5,10
95,193.521596,204.519598,10.998002,NaN,True,0.5,10
94,192.601602,204.546349,11.944747,NaN,True,0.5,10
93,191.720036,204.573085,12.853049,NaN,True,0.5,10
98,195.127664,209.512305,14.384641,NaN,True,0.5,10
97,194.985728,209.526016,14.540288,NaN,True,0.5,10
101,198.395043,209.578187,11.183144,NaN,True,0.5,10
96,194.97381,209.601792,14.627982,NaN,True,0.5,10
103,205.37597,219.274219,13.898249,NaN,True,0.5,10
102,205.129352,219.394288,14.264936,NaN,True,0.5,10
