id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,4.107298,17.805105,13.697807,NaN,True,1.0,7
2,5.769756,17.814721,12.044965,NaN,True,1.0,7
3,6.262971,17.841015,11.578044,NaN,True,1.0,7
1,5.501931,17.845301,12.34337,NaN,True,1.0,7
9,9.815648,22.653197,12.837549,NaN,True,1.0,7
6,8.634221,22.656196,14.021975,NaN,True,1.0,7
11,11.250032,22.666709,11.416677,NaN,True,1.0,7
5,8.333895,22.68268,14.348785,NaN,True,1.0,7
7,8.995643,22.753222,13.757579,NaN,True,1.0,7
10,11.05087,22.789303,11.738433,NaN,True,1.0,7
8,9.527815,22.798434,13.270619,NaN,True,1.0,7
4,8.041015,22.813177,14.772162,NaN,True,1.0,7
13,14.058714,27.665788,13.607074,NaN,True,1.0,7
14,14.553942,27.684311,13.130369,NaN,True,1.0,7
15,15.696317,27.676574,11.980257,NaN,True,1.0,7
12,12.497546,27.786486,15.28894,NaN,True,1.0,7
21,21.510795,32.670011,11.159216,NaN,True,1.0,7
18,20.026699,32.660017,12.633318,NaN,True,1.0,7
17,18.74393,32.68901,13.94508,NaN,True,1.0,7
19,20.153314,32.685011,12.531697,NaN,True,1.0,7
22,22.119111,32.69901,10.579899,NaN,True,1.0,7
20,20.981133,32.70301,11.721877,NaN,True,1.0,7
26,24.701569,37.685361,12.983792,NaN,True,1.0,7
30,26.771252,37.693321,10.922069,NaN,True,1.0,7
29,25.313268,37.695421,12.382153,NaN,True,1.0,7
23,22.541224,37.698572,15.157348,NaN,True,1.0,7
27,25.015456,37.701748,12.686292,NaN,True,1.0,7
24,23.189974,37.728824,14.53885,NaN,True,1.0,7
28,25.216719,37.848064,12.631345,NaN,True,1.0,7
32,28.286786,42.663625,14.376839,NaN,True,1.0,7
35,31.505686,42.668624,11.162938,NaN,True,1.0,7
31,27.521903,42.730622,15.208719,NaN,True,1.0,7
36,31.66034,42.797574,11.137234,NaN,True,1.0,7
33,28.983798,42.804026,13.820228,NaN,True,1.0,7
34,30.295397,42.810179,12.514782,NaN,True,1.0,7
41,37.177609,47.652243,10.474634,NaN,True,1.0,7
39,35.191658,47.664564,12.472906,NaN,True,1.0,7
37,32.769011,47.659755,14.890744,NaN,True,1.0,7
40,35.523153,47.650026,12.126873,NaN,True,1.0,7
38,35.00672,47.707941,12.701221,NaN,True,1.0,7
44,41.663773,52.685566,11.021793,NaN,True,1.0,7
45,42.128931,52.697116,10.568185,NaN,True,1.0,7
42,40.354551,52.699333,12.344782,NaN,True,1.0,7
43,41.131533,52.702609,11.571076,NaN,True,1.0,7
47,43.483108,57.700371,14.217263,NaN,True,1.0,7
50,46.115824,57.718508,11.602684,NaN,True,1.0,7
