id,start_fun,end_fun,time_fun,address,status,lambda,num_run
0,40.468752,43.352239,2.883487,NaN,True,1.0,2
1,40.576475,43.406512,2.830037,NaN,True,1.0,2
3,41.679584,44.325415,2.645831,NaN,True,1.0,2
2,41.200176,44.362651,3.162475,NaN,True,1.0,2
5,43.188165,45.403102,2.214937,NaN,True,1.0,2
4,42.834108,45.425733,2.591625,NaN,True,1.0,2
6,43.701629,46.403965,2.702336,NaN,True,1.0,2
7,44.793526,47.425772,2.632246,NaN,True,1.0,2
8,46.362107,49.347013,2.984906,NaN,True,1.0,2
9,48.204182,50.478362,2.27418,NaN,True,1.0,2
10,49.043649,51.405996,2.362347,NaN,True,1.0,2
11,49.872188,52.435587,2.563399,NaN,True,1.0,2
12,51.14831,53.479436,2.331126,NaN,True,1.0,2
13,53.096641,55.516351,2.41971,NaN,True,1.0,2
14,55.190255,57.457678,2.267423,NaN,True,1.0,2
16,56.158733,58.518105,2.359372,NaN,True,1.0,2
15,55.567442,58.531381,2.963939,NaN,True,1.0,2
17,56.595785,59.547791,2.952006,NaN,True,1.0,2
19,57.732179,60.470724,2.738545,NaN,True,1.0,2
18,57.392232,60.568353,3.176121,NaN,True,1.0,2
20,59.042277,61.577899,2.535622,NaN,True,1.0,2
21,60.08919,62.505395,2.416205,NaN,True,1.0,2
22,60.855497,63.527386,2.671889,NaN,True,1.0,2
23,62.454115,65.596856,3.142741,NaN,True,1.0,2
24,65.085396,67.630477,2.545081,NaN,True,1.0,2
25,65.86929,68.625496,2.756206,NaN,True,1.0,2
26,66.303882,68.655919,2.352037,NaN,True,1.0,2
27,67.068766,69.658655,2.589889,NaN,True,1.0,2
28,68.20386,70.594313,2.390453,NaN,True,1.0,2
30,69.164238,71.71531,2.551072,NaN,True,1.0,2
29,68.497021,71.725309,3.228288,NaN,True,1.0,2
31,69.706693,72.656275,2.949582,NaN,True,1.0,2
32,70.31865,72.684035,2.365385,NaN,True,1.0,2
34,71.41445,73.666417,2.251967,NaN,True,1.0,2
33,70.508466,73.663449,3.154983,NaN,True,1.0,2
35,77.35465,79.79881,2.44416,NaN,True,1.0,2
36,80.674566,83.844537,3.169971,NaN,True,1.0,2
37,85.502834,87.857827,2.354993,NaN,True,1.0,2
38,86.56204,88.861894,2.299854,NaN,True,1.0,2
39,86.907884,89.893926,2.986042,NaN,True,1.0,2
40,88.136989,90.81492,2.677931,NaN,True,1.0,2
41,88.463575,90.837955,2.37438,NaN,True,1.0,2
42,89.589497,91.904443,2.314946,NaN,True,1.0,2
43,93.670215,96.999702,3.329487,NaN,True,1.0,2
44,95.187101,97.966817,2.779716,NaN,True,1.0,2
47,96.382608,98.872888,2.49028,NaN,True,1.0,2
46,96.339179,98.920029,2.58085,NaN,True,1.0,2
45,95.952075,98.949719,2.997644,NaN,True,1.0,2
48,97.098912,99.974487,2.875575,NaN,True,1.0,2
49,98.003759,101.006057,3.002298,NaN,True,1.0,2
51,99.031859,101.92233,2.890471,NaN,True,1.0,2
50,99.005735,101.963613,2.957878,NaN,True,1.0,2
52,100.433517,102.911628,2.478111,NaN,True,1.0,2
53,101.427534,103.970882,2.543348,NaN,True,1.0,2
55,103.360188,105.962288,2.6021,NaN,True,1.0,2
54,102.880005,106.029349,3.149344,NaN,True,1.0,2
56,104.801585,107.063347,2.261762,NaN,True,1.0,2
57,105.499488,108.050606,2.551118,NaN,True,1.0,2
58,105.689832,108.050606,2.360774,NaN,True,1.0,2
59,111.302841,114.052263,2.749422,NaN,True,1.0,2
60,111.921948,115.058673,3.136725,NaN,True,1.0,2
61,112.692912,115.06067,2.367758,NaN,True,1.0,2
62,113.380498,116.087347,2.706849,NaN,True,1.0,2
64,115.951294,118.093283,2.141989,NaN,True,1.0,2
63,115.668388,118.157481,2.489093,NaN,True,1.0,2
66,116.278719,119.098296,2.819577,NaN,True,1.0,2
65,116.07493,119.132511,3.057581,NaN,True,1.0,2
67,118.03453,121.117593,3.083063,NaN,True,1.0,2
70,119.23258,122.122113,2.889533,NaN,True,1.0,2
69,118.966726,122.200376,3.23365,NaN,True,1.0,2
72,121.526079,124.165465,2.639386,NaN,True,1.0,2
71,120.999216,124.209849,3.210633,NaN,True,1.0,2
73,123.07205,126.220529,3.148479,NaN,True,1.0,2
74,124.110673,127.154806,3.044133,NaN,True,1.0,2
75,124.905863,127.187966,2.282103,NaN,True,1.0,2
77,125.919091,128.188,2.268909,NaN,True,1.0,2
76,125.077141,128.195007,3.117866,NaN,True,1.0,2
78,126.852068,129.246835,2.394767,NaN,True,1.0,2
79,127.184972,130.185392,3.00042,NaN,True,1.0,2
80,129.854526,132.314035,2.459509,NaN,True,1.0,2
81,131.277537,134.220196,2.942659,NaN,True,1.0,2
82,132.129122,135.256751,3.127629,NaN,True,1.0,2
83,132.226801,135.294796,3.067995,NaN,True,1.0,2
84,133.792202,136.365363,2.573161,NaN,True,1.0,2
86,138.056274,140.358547,2.302273,NaN,True,1.0,2
87,139.068657,141.405966,2.337309,NaN,True,1.0,2
89,141.418635,144.333804,2.915169,NaN,True,1.0,2
88,141.367722,144.385278,3.017556,NaN,True,1.0,2
90,142.300541,145.366683,3.066142,NaN,True,1.0,2
91,144.038954,146.377279,2.338325,NaN,True,1.0,2
92,145.660164,148.440165,2.780001,NaN,True,1.0,2
93,145.891134,148.47342,2.582286,NaN,True,1.0,2
94,148.06403,150.476584,2.412554,NaN,True,1.0,2
95,149.031141,151.423776,2.392635,NaN,True,1.0,2
96,150.342433,153.440175,3.097742,NaN,True,1.0,2
98,152.961749,155.479664,2.517915,NaN,True,1.0,2
97,152.824486,155.484679,2.660193,NaN,True,1.0,2
99,153.146935,155.57691,2.429975,NaN,True,1.0,2
100,153.804707,156.459686,2.654979,NaN,True,1.0,2
101,153.897596,156.463966,2.56637,NaN,True,1.0,2
102,153.974438,156.530112,2.555674,NaN,True,1.0,2
103,154.46884,157.530403,3.061563,NaN,True,1.0,2
104,154.789361,157.558416,2.769055,NaN,True,1.0,2
106,155.655031,158.50759,2.852559,NaN,True,1.0,2
107,155.885741,158.522884,2.637143,NaN,True,1.0,2
105,155.458427,158.542318,3.083891,NaN,True,1.0,2
108,156.588924,159.492529,2.903605,NaN,True,1.0,2
109,157.179019,159.569703,2.390684,NaN,True,1.0,2
110,158.096949,160.545125,2.448176,NaN,True,1.0,2
111,159.152049,161.542022,2.389973,NaN,True,1.0,2
112,159.169328,161.573473,2.404145,NaN,True,1.0,2
113,160.315667,162.633107,2.31744,NaN,True,1.0,2
114,160.536093,163.640574,3.104481,NaN,True,1.0,2
115,160.660195,163.656604,2.996409,NaN,True,1.0,2
116,162.019469,164.566556,2.547087,NaN,True,1.0,2
117,162.318767,164.672478,2.353711,NaN,True,1.0,2
119,163.09879,165.594536,2.495746,NaN,True,1.0,2
118,162.629058,165.623964,2.994906,NaN,True,1.0,2
121,163.986972,166.669441,2.682469,NaN,True,1.0,2
122,164.765528,167.694525,2.928997,NaN,True,1.0,2
124,167.931152,170.682766,2.751614,NaN,True,1.0,2
123,167.642532,170.692755,3.050223,NaN,True,1.0,2
126,170.18927,172.63846,2.44919,NaN,True,1.0,2
125,169.551296,172.69222,3.140924,NaN,True,1.0,2
127,171.072637,173.71376,2.641123,NaN,True,1.0,2
128,173.197201,175.678655,2.481454,NaN,True,1.0,2
129,173.552486,176.772727,3.220241,NaN,True,1.0,2
131,176.104512,178.810524,2.706012,NaN,True,1.0,2
130,175.880577,178.813536,2.932959,NaN,True,1.0,2
132,177.68679,180.737472,3.050682,NaN,True,1.0,2
133,180.298302,182.806183,2.507881,NaN,True,1.0,2
134,181.558923,183.755503,2.19658,NaN,True,1.0,2
135,181.958192,184.858881,2.900689,NaN,True,1.0,2
138,183.519259,185.892735,2.373476,NaN,True,1.0,2
136,182.767635,185.901775,3.13414,NaN,True,1.0,2
139,183.645143,185.915769,2.270626,NaN,True,1.0,2
140,184.98032,187.807845,2.827525,NaN,True,1.0,2
141,185.937858,188.853999,2.916141,NaN,True,1.0,2
142,186.151525,188.893026,2.741501,NaN,True,1.0,2
144,187.550765,189.830428,2.279663,NaN,True,1.0,2
143,187.122978,189.907609,2.784631,NaN,True,1.0,2
145,188.066519,190.875944,2.809425,NaN,True,1.0,2
146,188.240041,190.920029,2.679988,NaN,True,1.0,2
147,189.173833,191.893336,2.719503,NaN,True,1.0,2
148,190.590485,192.919599,2.329114,NaN,True,1.0,2
149,191.303034,193.936497,2.633463,NaN,True,1.0,2
150,191.386205,193.959111,2.572906,NaN,True,1.0,2
151,193.396527,195.967883,2.571356,NaN,True,1.0,2
152,194.160986,196.966244,2.805258,NaN,True,1.0,2
153,198.123823,200.960271,2.836448,NaN,True,1.0,2
155,199.559137,201.960777,2.40164,NaN,True,1.0,2
154,198.945087,202.022306,3.077219,NaN,True,1.0,2
156,200.123596,202.991695,2.868099,NaN,True,1.0,2
157,202.532677,205.047779,2.515102,NaN,True,1.0,2
158,203.032554,206.076778,3.044224,NaN,True,1.0,2
159,204.319946,207.128374,2.808428,NaN,True,1.0,2
160,204.902395,208.105657,3.203262,NaN,True,1.0,2
161,205.474578,208.103655,2.629077,NaN,True,1.0,2
163,206.744817,209.056213,2.311396,NaN,True,1.0,2
162,206.416534,209.07201,2.655476,NaN,True,1.0,2
164,209.279291,212.103945,2.824654,NaN,True,1.0,2
166,210.542261,213.122622,2.580361,NaN,True,1.0,2
165,210.421845,213.120606,2.698761,NaN,True,1.0,2
167,211.553289,214.129902,2.576613,NaN,True,1.0,2
168,212.304334,215.141365,2.837031,NaN,True,1.0,2
169,214.651769,217.19027,2.538501,NaN,True,1.0,2
170,215.231515,218.189733,2.958218,NaN,True,1.0,2
173,215.758923,218.186737,2.427814,NaN,True,1.0,2
171,215.253789,218.198099,2.94431,NaN,True,1.0,2
172,215.297778,218.200098,2.90232,NaN,True,1.0,2
174,216.729156,219.241639,2.512483,NaN,True,1.0,2
177,217.482701,220.223783,2.741082,NaN,True,1.0,2
178,217.758345,220.268436,2.510091,NaN,True,1.0,2
175,217.182017,220.266433,3.084416,NaN,True,1.0,2
176,217.296964,220.285428,2.988464,NaN,True,1.0,2
180,218.300827,221.174889,2.874062,NaN,True,1.0,2
179,218.008807,221.187258,3.178451,NaN,True,1.0,2
181,219.497643,222.228252,2.730609,NaN,True,1.0,2
183,222.579657,225.23783,2.658173,NaN,True,1.0,2
184,222.6239,225.308238,2.684338,NaN,True,1.0,2
182,222.222793,225.31026,3.087467,NaN,True,1.0,2
186,224.680669,227.261179,2.58051,NaN,True,1.0,2
185,224.163898,227.281777,3.117879,NaN,True,1.0,2
187,225.722456,228.314563,2.592107,NaN,True,1.0,2
188,228.512009,231.317101,2.805092,NaN,True,1.0,2
189,228.734196,231.38449,2.650294,NaN,True,1.0,2
190,229.72158,232.325893,2.604313,NaN,True,1.0,2
191,230.024207,232.357961,2.333754,NaN,True,1.0,2
192,230.101599,232.377698,2.276099,NaN,True,1.0,2
193,230.862535,233.324875,2.46234,NaN,True,1.0,2
194,231.128827,233.3554,2.226573,NaN,True,1.0,2
195,231.715363,234.417534,2.702171,NaN,True,1.0,2
196,233.181664,235.407874,2.22621,NaN,True,1.0,2
197,234.217199,237.421399,3.2042,NaN,True,1.0,2
199,235.137283,237.424414,2.287131,NaN,True,1.0,2
198,234.324962,237.426397,3.101435,NaN,True,1.0,2
200,237.846113,240.428199,2.582086,NaN,True,1.0,2
201,238.623671,241.45397,2.830299,NaN,True,1.0,2
202,239.448292,242.456883,3.008591,NaN,True,1.0,2
203,241.045578,243.481807,2.436229,NaN,True,1.0,2
204,241.654422,244.417149,2.762727,NaN,True,1.0,2
