exp,exp_plot,lambda,transient
besu_clique_4,"besu
clique",0.5,"[-0.          0.          4.14984027  5.98643951  6.99997282  7.79305255
  8.36209332  8.73537304  9.09486737  9.35189265  9.4629179   9.65309821
 10.07239719 10.32848833 10.53060225 10.69106696 10.83429117 10.94358026
 11.11778196 11.23541621 11.30412233 11.40912261 11.53033099 11.60802873
 11.62762412 11.67520261 11.73624307 11.76205918 11.75548023 11.7587882
 11.77344456 11.78785081 11.8047748  11.81531431 11.84635124 11.88304388
 11.85732536 11.86065685 11.87610172 11.92649892 11.95013443 11.96411727
 11.99146391 12.03114971 12.0334809  12.01508133 12.01493098 12.02190435
 12.04437712 12.02909747 12.01260247 12.02644943 12.021133   12.0224337
 12.05000534 12.07569139 12.09905605 12.1237239  12.0907162  12.09397959
 12.10273041 12.05423009 12.05962364 12.02557245 11.98597391 11.94561812
 11.93846125 11.93188329 11.91168038 11.90316639 11.89044672 11.89422082
 11.86293841 11.85490628 11.87257586 11.88588743 11.89818702 11.90611303
 13.2050944  12.91555573 12.82501273 12.9092298  12.8392322  13.38673073
 13.4539474  13.48036753 13.67206773 13.3331158  13.38629927]"
besu_clique_4,"besu
clique",1.0,"[-0.          0.          4.15149024  6.11440725  6.978215    7.64802033
  8.25088438  8.7165336   9.04896189  9.2681047   9.46482723  9.64660047
 10.10127613 10.33715063 10.52115305 10.67603384 10.81850748 10.92455266
 11.03212863 11.16645954 11.25768022 11.31376086 11.40581083 11.52619522
 11.60252115 11.67984061 11.74198245 11.8177019  11.83801731 11.87192303
 11.89868953 11.94423097 11.98370303 12.0529599  12.08739693 12.07662396
 12.10269056 12.11712123 12.13769706 12.14457039 12.16252518 12.16675273
 12.13057408 12.07907198 12.0737877  12.08905126 12.10419644 12.07856418
 12.05460506 12.04927008 12.031207   12.03138874 12.04776239 12.05555825
 12.07911654 12.10660369 12.08006266 12.10840328 12.17194574 12.1829894
 12.22525206 12.28144038 12.32534557 12.36130924 12.35527185 12.34578453
 12.39777941 12.42095472 12.42029615 12.40823065 12.41441937 12.41081582
 12.40460058 12.39290779 12.4235912  12.42842782 12.38855461 12.35921456
 12.39195106 12.46537681 12.4666493  12.44303716 12.44964904 12.47900279
 12.4588136  12.46195643 12.48118434 12.52798548 12.46089665 12.42778789
 12.40725375 12.40715194 12.41629332 12.39459752 12.41855595 12.43521731
 12.44822809 12.45499512 12.51110943 12.49731699 12.50742413 12.55348548
 12.55149186 12.56225668 12.51631134 12.49811746 12.52512985 12.52551196
 12.52217052 12.54158417 12.55446858 12.55226576 12.54659647 12.55440843
 12.6195627  12.59997536 12.57752566 12.54363033 12.52055164 12.49567385
 12.50639936 12.46814099 12.39296695 12.34691767 12.2696378  12.3098772
 12.32978752 12.31369978 12.30476766 12.2895905  12.26176765 12.25236926
 12.30984456 12.34369221 12.34144215 12.31611998 12.26155729 12.28722834
 12.30466002 12.3039953  12.2690098  12.2718942  12.27138609 12.24329126
 12.31100813 12.30033193 12.32547334 12.33690344 12.31904215 12.35080671
 12.35871212 12.35943953 13.4830446  14.56124427 13.3242956  13.6124602
 14.06442087 13.38808607 13.87523847 12.94128133 13.58793133 14.1895056
 14.07311133]"
besu_clique_4,"besu
clique",2.0,"[-0.          0.          4.18618247  5.81654357  6.97488643  7.67248982
  8.19069394  8.57237394  8.87418662  9.08572838  9.30281077  9.48577834
  9.9234779  10.18660133 10.35956527 10.52404349 10.661622   10.82986177
 10.93312336 11.02811504 11.09301426 11.13720673 11.24816717 11.32008512
 11.40757391 11.49823035 11.52670476 11.55766021 11.61311231 11.63483667
 11.6947503  11.75467564 11.74638304 11.77340395 11.73298275 11.71341933
 11.73245611 11.73099341 11.71866215 11.7510839  11.74055761 11.72705271
 11.72995126 11.72293094 11.81057958 11.80145072 11.81125276 11.81707593
 11.81759717 11.81513572 11.79631625 11.80052621 11.79331543 11.82120976
 11.76920877 11.80146113 11.79972087 11.81750942 11.82758301 11.78630827
 11.81432655 11.84118351 11.87116364 11.8689772  11.90158315 11.90113866
 11.88610767 11.87825793 11.88675493 11.94102702 11.94187952 11.91398854
 11.84640104 11.84452264 11.82186455 11.81583247 11.80508451 11.81615354
 11.80107027 11.75162084 11.72860261 11.75349036 11.78030946 11.79291
 11.8111815  11.79352832 11.85468391 11.84138008 11.86820273 11.86521478
 11.89476055 11.90414358 11.90730395 11.88069376 11.87520728 11.86419012
 11.85273829 11.86493754 11.85535739 11.89305577 11.88283709 11.85487388
 11.88297879 11.8628674  11.83951891 11.86031565 11.83817847 11.82300462
 11.80621262 11.82634178 11.8401348  11.86396704 11.84201792 11.88907504
 11.90984036 11.89359311 11.86605667 11.86221174 11.87318686 11.8398163
 11.83007805 11.81683323 11.8383661  11.83356527 11.82027975 11.81610935
 11.87881086 11.93666021 11.92102478 11.91937305 11.93339813 11.94776426
 11.94243389 11.91966231 11.9155782  11.95601391 11.90190346 11.85712605
 11.8522793  11.84356397 11.82392038 11.81901913 11.8280389  11.82601572
 11.82519686 11.81504604 11.85316048 11.84925441 11.86075008 11.84582102
 11.86489055 11.88850504 11.86021501 11.86169901 11.86611228 11.87490865
 11.85411951 11.87566612 11.87819966 11.88205926 11.87715502 11.85195395
 11.83781704 11.8425163  11.84102174 11.83449177 11.82080126 11.82753609
 11.79082123 11.78105693 11.80273542 11.81222946 11.82777825 11.81891556
 11.80217921 11.76955144 11.77239769 11.76044691 11.78150319 11.82458816
 11.79945159 11.75924467 11.77433807 11.76952452 11.77736688 11.80401579
 11.79149662 11.7830008  11.78669469 11.73583446 11.72832133 11.73391876
 11.7308183  11.7484501  11.77438412 11.7574066  11.79901638 11.77729114
 11.78228825 11.79602204 11.82517512 11.84141976 11.86232625 11.86184957
 11.86345059 11.86362568 11.84059933 11.86377637 11.85296002 11.87911147
 11.84545701 11.81191556 11.75496163 11.7717833  11.76597807 11.78167399
 11.80171644 11.79894868 11.82489023 11.86167344 11.85604093 11.89838667
 11.91588135 11.91913604 11.92127763 11.93606217 11.95310113 11.96878128
 11.93624497 11.90651442 11.91395594 11.91889946 11.93285304 11.91667428
 11.92472864 11.90293529 11.89653436 11.87824706 11.89971243 11.91237846
 11.92981279 11.92512106 11.98944484 11.99930074 11.97601775 12.00221866
 11.97436143 11.96595576 12.01739742 12.00956768 12.0044354  12.03405226
 11.98686065 11.99598446 12.04534203 12.02762051 12.03922948 12.02686958
 11.9676323  11.93818392 11.91980997 11.89168455 11.91578463 11.90199702
 11.88150374 11.86780557 11.86715716 11.92566277 11.94730615 11.97017421
 11.98853701 11.98070064 11.92989298 11.9437499  11.93377683 11.92971451
 11.92443496 13.37186073 13.00725053 13.06467247 12.8648114  12.70517147
 13.36237153 13.0403508  12.74877747 12.97269167 13.35002887 13.18038853]"
besu_ibft_4,"besu
ibft",0.5,"[-0.          0.          4.24122153  6.24566085  7.17858151  7.80958974
  8.31731003  8.74493774  9.05742426  9.23381105  9.41997482  9.55897672
 10.01732786 10.27911709 10.47866714 10.61109    10.78999641 10.91368178
 11.03766758 11.1742856  11.27718638 11.36939798 11.41655483 11.47198464
 11.50403687 11.54310209 11.55898894 11.58438413 11.62698715 11.62089094
 11.64350542 11.68921432 11.73792485 11.73921174 11.75396079 11.75769465
 11.79159028 11.8162137  11.86041863 11.86151319 11.88290075 11.85911207
 11.86276611 11.90022054 11.89932677 11.9316395  11.94123319 11.93884268
 11.88939754 11.88872846 11.88658436 11.8977132  11.89958136 11.88660353
 11.90459033 11.88206584 11.86793522 11.87183195 11.85649298 11.85863795
 11.85700203 11.90615413 11.88707613 11.90228539 11.91208011 11.91816938
 11.94965614 11.91583184 11.96181688 13.37518853 13.8149868  12.65188573
 13.53629453 13.27274053 12.62621893 13.86116407 12.42424367 13.6700032
 13.50884933 13.0483202 ]"
besu_ibft_4,"besu
ibft",1.0,"[-0.          0.          4.16737884  5.74256086  7.01165105  7.68269683
  8.10569733  8.4729453   8.73097532  8.97924463  9.17904489  9.38254908
  9.829264   10.06532422 10.34916303 10.51817048 10.63776455 10.7392915
 10.82555963 10.90717476 10.97919114 11.0323129  11.13711175 11.19496534
 11.22657622 11.28625801 11.30275336 11.34704352 11.37807727 11.42969273
 11.47894665 11.53246978 11.55802135 11.62395671 11.63928657 11.63340393
 11.65498456 11.69426277 11.70341892 11.70579484 11.69981383 11.68299535
 11.64327451 11.65303686 11.63615891 11.63798671 11.66987759 11.64692439
 11.66966131 11.70524813 11.72703467 11.74460951 11.75364189 11.71858754
 11.71952616 11.7174117  11.71968978 11.71696506 11.70983313 11.67439605
 11.63490674 11.64415664 11.65688462 11.64181128 11.64580191 11.65844348
 11.65186106 11.66414762 11.65940304 11.69707722 11.71404454 11.65870408
 11.63763097 11.65167389 11.64860863 11.63961066 11.64033536 11.62040134
 11.60289498 11.56260323 11.57617526 11.61168392 11.61338067 11.66143296
 11.6670259  11.68528481 11.69653705 11.71008438 11.72429792 11.73450751
 11.72151047 11.72052408 11.73176415 11.68175182 11.71081936 11.6856848
 11.68778438 11.67850427 11.68022516 11.68454731 11.69446615 11.70380299
 11.73574027 11.73864867 11.72965717 11.72373243 11.70188767 11.7238748
 11.7495321  11.72865959 11.7449281  11.73428695 11.72949471 11.71458091
 11.6882332  11.71059854 11.71563102 11.70810058 11.72380206 11.77732547
 11.77630734 11.78669657 11.7748812  11.78989148 11.77809458 11.74521063
 11.73811692 11.7258415  11.71657633 11.67297887 11.65673384 11.67141223
 11.6635967  11.68665192 11.69835047 11.73685457 11.7125665  11.71331981
 11.7068636  11.70409667 11.70707556 11.66123113 11.67253397 11.67451972
 11.66290095 11.66105936 11.70308853 11.72552558 11.70378378 12.8238312
 12.28545887 13.13585427 13.2477718  12.65620807 13.12529067 13.2125058
 13.03891633 12.7606246  13.49917827 12.5204558 ]"
besu_ibft_4,"besu
ibft",2.0,"[-0.          0.          4.12015447  6.08350687  6.96064983  7.63501318
  8.23139616  8.58908197  8.88188004  9.12768212  9.36016079  9.55088637
 10.01216571 10.31049656 10.51450143 10.67787129 10.82587271 10.96764052
 11.10344946 11.18960408 11.2616771  11.37612905 11.49480071 11.57538528
 11.66012158 11.69636013 11.72709625 11.78254865 11.81035384 11.81572275
 11.83096735 11.84829857 11.86239854 11.87932939 11.87886344 11.89921211
 11.92005782 11.94318614 11.91363185 11.89323172 11.91854876 11.89145166
 11.88616051 11.85371293 11.85016289 11.83854148 11.81074948 11.74062444
 11.75111387 11.76817613 11.74076346 11.7617653  11.74394414 11.74194589
 11.73205717 11.72444864 11.73125307 11.7446526  11.70020515 11.71053809
 11.69295377 11.68768925 11.69928116 11.6878773  11.67486745 11.6941359
 11.70913581 11.67084807 11.73706767 11.71420698 11.72833191 11.75442039
 11.72026079 11.77957236 11.79266194 11.79851897 11.80756683 11.8704186
 11.86203698 11.88789379 11.90387306 11.89813719 11.93421274 11.88251675
 11.93167206 11.91834713 11.92107772 11.94108458 11.92792903 11.94641148
 11.97812847 11.96321102 11.98177457 12.00275953 11.95001622 11.94562199
 11.96096511 11.93294165 11.95645814 11.93128432 11.9140087  11.92220329
 11.90175303 11.89765277 11.91459415 11.94070188 11.88995886 11.91760017
 11.91481815 11.91111787 11.88160708 11.87063256 11.87754259 11.88122057
 11.89965958 11.86650634 11.88252321 11.8853478  11.9001077  11.92835123
 11.96425823 11.93496331 11.92126124 11.90634651 11.89803239 11.91130841
 11.9340579  11.95325177 11.95329589 11.93605382 11.92616511 11.98013734
 11.96474051 11.96037054 11.96463876 11.95131937 11.91890523 11.87551577
 11.79726036 11.78614134 11.78307775 11.7454433  11.77765467 11.76430102
 11.73400883 11.73622147 11.74352251 11.75875441 11.80360585 11.8223823
 11.79041973 11.78941909 11.74473188 11.75509712 11.74904255 11.74213957
 11.72819613 11.72588846 11.73021531 11.72486853 11.73320334 11.75291627
 11.77532622 11.77829207 11.79789846 11.803018   11.8316094  11.81070571
 11.78887499 11.80917587 11.79897128 11.82336666 11.83099903 11.84759925
 11.85036672 11.86213345 11.8596475  11.90075787 11.94690957 11.94583069
 11.98105003 11.97106396 11.96214212 11.95880324 11.96649126 12.00472406
 12.02228109 11.98404416 11.95001709 11.92036716 11.89814922 11.8704054
 11.87137843 11.88242909 11.90255475 11.87547107 11.87112209 11.92761334
 11.9619489  12.02215171 12.03171931 12.05016038 12.07828801 12.10398276
 12.08862668 12.08040353 12.0745768  12.04811095 12.02863646 11.97397715
 11.95861656 11.96215318 11.91857436 11.85431521 11.8678586  11.90941818
 11.89112969 11.91148239 11.90646633 11.90621621 11.92375144 11.90916297
 11.95858145 11.97793991 11.95084793 11.88813637 11.90353809 11.84023419
 11.82482064 11.84943287 11.82488722 11.7785019  11.76912771 11.77587929
 11.76057862 11.764325   11.73658608 11.76667748 11.78943777 11.78767326
 11.8188877  11.8706656  11.83261973 11.84423806 11.85674321 11.8663949
 11.86204077 11.8324407  11.84345978 11.82366511 11.84496104 11.86719224
 11.90124965 11.87784709 11.8870098  11.86872123 11.88769237 11.88187523
 11.8569603  11.86145706 11.83238116 11.80302755 11.74948518 11.75220619
 11.75472205 11.77289935 11.75753693 11.79700492 13.23718527 13.02772507
 13.04450393 12.22291267 12.8958832  13.3052382  13.01594827 12.8552746
 13.39410647 13.25710687 12.87451127]"
besu_qbft_4,"besu
qbft",0.5,"[-0.          0.          3.98789776  6.02769736  6.9800963   7.6413149
  8.08705754  8.42761399  8.74934887  8.94714338  9.15707842  9.3670733
  9.82640859 10.12332936 10.32242099 10.44177604 10.63503745 10.76202946
 10.86401908 10.94574285 11.02401029 11.11879315 11.21366025 11.21243054
 11.27750422 11.35710318 11.32320815 11.34071485 11.3840061  11.3981216
 11.40418326 11.39297655 11.38594448 11.43924003 11.44521408 11.43392542
 11.48399577 11.46055242 11.45265805 11.44813824 11.42982271 11.41584363
 11.42007212 11.40262952 11.40320952 11.40917476 11.39462806 11.44034522
 11.45439261 11.47025225 11.48109597 11.5194592  11.52690059 11.57298429
 11.57333352 11.57397315 11.56749275 11.59344116 11.59491333 11.5921816
 11.59596902 11.53970068 11.55688065 11.54352479 11.53343607 11.53734558
 11.5399076  11.51369106 12.36691133 12.38923413 11.58928807 13.09868973
 13.01175573 12.85284873 12.6039474  12.46786507 12.92889287 12.42453393
 12.7768444 ]"
besu_qbft_4,"besu
qbft",1.0,"[-0.          0.          4.15926173  6.052461    7.06902682  7.60689215
  8.03339219  8.37511641  8.70894366  9.08919705  9.23729905  9.3977261
  9.86493636 10.1444753  10.30550856 10.48165938 10.57603033 10.64040464
 10.7844744  10.90262388 10.92972785 11.04039249 11.11757252 11.17348333
 11.2658814  11.29125071 11.33660989 11.39772169 11.44227743 11.46396929
 11.56371682 11.59855382 11.59861056 11.64860701 11.60969527 11.64875681
 11.65860812 11.66856289 11.65525095 11.67301022 11.64562743 11.6580661
 11.61049136 11.57733217 11.59756439 11.58441177 11.59591591 11.58040985
 11.5720486  11.54363522 11.58019561 11.57736817 11.62421056 11.64919811
 11.65277551 11.62700981 11.65041472 11.66501785 11.669332   11.7214573
 11.70478176 11.71843366 11.73389338 11.73529711 11.72963804 11.75359692
 11.74612637 11.71622344 11.74213007 11.70605501 11.73506991 11.70468785
 11.69865765 11.67536115 11.66381787 11.67491339 11.65861631 11.70749371
 11.70093472 11.70453844 11.63906706 11.64742178 11.67184775 11.69689748
 11.71402702 11.6927875  11.67039479 11.61884606 11.64721858 11.66112324
 11.69864425 11.72142966 11.71978319 11.74977401 11.76442849 11.82568478
 11.8315958  11.87337089 11.86889773 11.82149817 11.81839333 11.80460273
 11.79007323 11.73410458 11.70465988 11.65109486 11.6522393  11.63074531
 11.60143049 11.63529679 11.63671543 11.63969084 11.6380821  11.66415397
 11.69646804 11.71587562 11.7589445  11.79027472 11.79988102 11.78762974
 11.79333389 11.80669022 11.80306845 11.80998354 11.8062839  11.79233885
 11.75463948 11.72825517 11.70459588 11.71997898 11.72361302 11.69817426
 11.71362882 11.69388159 11.68331493 11.71253388 11.73731608 11.73388285
 11.76508316 11.79775271 11.77669006 11.77435497 11.74382898 11.75519377
 11.75077036 11.74652974 11.72248509 11.73575754 11.71378537 11.67813531
 11.69067336 11.70081319 11.6952993  11.70536286 13.32836987 12.71234947
 12.91955267 12.67283247 12.78106773 13.019176   12.87074973 12.50877113
 13.13524367 13.54178707 13.37813267]"
besu_qbft_4,"besu
qbft",2.0,"[-0.          0.          4.01933944  5.98810557  7.03931776  7.62558053
  8.18857643  8.50859087  8.79241119  9.03474624  9.2702673   9.51255934
  9.97328137 10.26442876 10.48154216 10.65423058 10.79011574 10.93804638
 11.03232853 11.14557543 11.24155768 11.29506201 11.36850723 11.42537705
 11.46968015 11.54185071 11.59657251 11.68461407 11.75279387 11.74448546
 11.76556832 11.79058508 11.80451546 11.86011344 11.91392598 11.90565887
 11.89961864 11.87181456 11.86162787 11.86339562 11.86400384 11.9163608
 11.92664773 11.93985794 11.9123664  11.91920716 11.92100955 11.91274867
 11.89314908 11.87027156 11.8614241  11.80780894 11.78154337 11.76305804
 11.73335446 11.72921556 11.76830739 11.75840263 11.79413638 11.79390572
 11.78259483 11.8072791  11.84883144 11.8461803  11.87265564 11.90726763
 11.88146229 11.89796735 11.91106751 11.93943082 11.97619534 12.00026945
 11.99066532 12.01902293 12.05524229 12.02545575 12.00907818 12.01415188
 11.99123209 11.98373826 11.94447565 11.91911795 11.91035571 11.83644402
 11.83958493 11.87588098 11.882533   11.85406058 11.8377327  11.83538562
 11.88478536 11.88282681 11.89343033 11.90647126 11.89291113 11.88160536
 11.89458776 11.91749981 11.95642096 11.96294188 11.91621124 11.91422734
 11.92529106 12.00004516 11.97674623 11.98183331 11.97151484 11.94670047
 11.92680153 11.90005447 11.93240044 11.97505077 11.92089685 11.83538084
 11.81982369 11.83072863 11.78910852 11.81039861 11.79055229 11.81881519
 11.80022901 11.76484122 11.81621429 11.82301387 11.83266862 11.78440376
 11.84979711 11.84831885 11.84377098 11.83020505 11.80682646 11.81977221
 11.79526654 11.82019201 11.85726242 11.85951886 11.88241077 11.85567026
 11.83664661 11.86695823 11.8767436  11.87118011 11.89195249 11.90600237
 11.89163102 11.92337376 11.85540264 11.83821364 11.85212645 11.8221724
 11.82789072 11.81312426 11.80627639 11.79370602 11.79333724 11.79005443
 11.80599816 11.8733024  11.89674861 11.92090809 11.94638587 11.96101922
 11.9556951  11.9585855  11.97399911 11.93274165 11.94350299 11.92307499
 11.91558996 11.94840119 11.91427384 11.92698027 11.92361268 11.91155126
 11.88529268 11.91553978 11.92248205 11.92201241 11.95897548 11.91849841
 11.92186838 11.90651046 11.92666183 11.94761991 11.92915816 11.94081185
 11.91413357 11.89640983 11.87462295 11.88610938 11.89626    11.88924325
 11.85821186 11.84501099 11.85639104 11.85504929 11.90841686 11.9143575
 11.89755932 11.88759558 11.89385545 11.90484802 11.93898169 11.9332159
 11.97245068 11.94951346 11.88751966 11.87087205 11.90097149 11.88095241
 11.85617772 11.85333918 11.83921815 11.84848066 11.8042275  11.81995605
 11.8661077  11.8717182  11.86378696 11.84992116 11.84597856 11.86114939
 11.88324761 11.87601032 11.91638182 11.9256587  11.89067753 11.94348159
 11.93675065 11.9523231  11.93538986 11.91601453 11.87311243 11.89275742
 11.84969826 11.85490451 11.85050033 11.83246012 11.8138698  11.81544419
 11.87035457 11.87247116 11.89785539 11.89462423 11.91938175 11.93145327
 11.9327995  11.92951764 11.91718267 11.92101525 11.88103247 11.90525981
 11.88377041 11.89789045 11.90614602 11.87225021 11.90553631 11.94500535
 11.93885675 11.9229884  11.96262249 11.95738636 11.99493779 11.9856039
 11.99101634 11.97757223 11.9812355  12.4978576  12.50364107 13.38938813
 13.32684773 13.525457   13.25800827 13.37877147 12.6339434  13.3748886
 12.6408932  13.0419694 ]"
go-quorum_ibft_4,"go-quorum
ibft",0.5,"[-0.          0.          4.78452591  6.88025153  7.99065801  8.72715588
  9.25716094  9.63448747 10.02946284 10.30920798 10.55480699 10.76772613
 11.28290619 11.61152325 11.79933922 11.98055523 12.14590991 12.24706295
 12.3567883  12.45173762 12.5206119  12.62735015 12.72141375 12.79769396
 12.88193215 12.88856895 12.9408135  13.01646141 13.02307724 13.05467472
 13.08778681 13.09597624 13.11664976 13.13288984 13.13353152 13.17122054
 13.18466197 13.13901322 13.19002905 13.2329046  13.23635213 13.26163879
 13.26154579 13.27336263 13.3071728  13.3371997  13.33024554 13.35955799
 13.37285127 13.36320453 13.37335489 13.40890152 13.42536338 13.44864365
 13.4308092  13.41988348 13.46616295 13.49323214 13.46129519 13.47581803
 13.46904641 13.42781905 13.38889549 13.36714397 13.35672383 13.3502839
 13.29085958 13.27845484 13.30599653 13.26534903 13.26636051 13.25710944
 13.31949405 13.28445443 13.28678412 13.23558078 13.24118279 13.25130623
 13.23790958 13.2748119  13.25855365 15.46912853 14.18642753 14.46097127
 13.58342527 14.52755493 14.93427287 14.82945313 14.99109627 14.470559
 15.0142738  14.68837633]"
